[['Dimitri Mohamed', 'startMemberOf', 'FK Borac Čačak', '2022-01-01']]
[['Gjalt-Jorn Y Peters', 'endWorksFor', 'Maastricht University', '2022-02-01']]
[['Fakhar Ud Din', 'endWorksFor', 'Hanyang University Erica Campus', '2022-02-01']]
[['Arif Suyono', 'startMemberOf', 'Persepam Madura Utama', '2022-02-01']]
[['Gustavo Naumann', 'endWorksFor', 'Faculty of Exact and Natural Sciences', '2022-02-01']]
[['Matej Jonjić', 'startMemberOf', 'SC Zofingen', '2022-02-01']]
[['Marino Baždarić', 'endMemberOf', 'KK Cedevita Junior', '2022-02-01']]
[['Deborah J Fowell', 'endWorksFor', 'University of Rochester', '2022-02-01']]
[['Ondřej Vaněk', 'startMemberOf', 'Fehérvár FC', '2022-02-01']]
[['Ian Gray ( English footballer)', 'startMemberOf', 'Beşiktaş J. K.', '2022-02-01']]
[['Bryan Rabello', 'startMemberOf', 'Mossley A. F. C.', '2022-02-01']]
[['Ólafur Karl Finsen', 'endMemberOf', 'Stjarnan men\' s football', '2022-02-01']]
[['Mohammad Sirazul Islam', 'endWorksFor', 'Chittagong Veterinary and Animal Sciences University', '2022-02-01']]
[['D U0027 Lesha Lloyd', 'startMemberOf', 'Dynamo Kursk', '2022-02-01']]
[['Le U0027 Vonn Jordan', 'endWorksFor', 'Darıca Gençlerbirliği', '2022-02-01']]
[['Daniil Mots', 'startMemberOf', 'Belarus National Under-23 Football Team', '2022-02-01']]
[['Maxime Vantomme', 'endMemberOf', 'Mitsubishi– Jartazi', '2022-02-01']]
[['Stefan Čupić', 'endMemberOf', 'Serbia national under-19 football team', '2022-02-01']]
[['Damiano Archetti', 'endWorksFor', 'University of Warwick', '2022-02-01']]
[['Mart Ojavee', 'startMemberOf', 'UAE Team Emirates', '2022-02-01']]
[['Luigi Gallo', 'endMemberOf', 'Towson Tigers men\' s basketball', '2022-02-01']]
[['Giorgos Kakoullis', 'endMemberOf', 'Doxa Katokopias FC', '2022-02-01']]
[['Robert Cosialls', 'startMemberOf', 'CB Zamora', '2022-02-01']]
[['Sebastian Saucedo', 'startMemberOf', 'FC Cincinnati ( 2016– 2018)', '2022-02-01']]
[['Ballaban', 'endMemberOf', 'Hallescher FC', '2022-02-01']]
[['Ankush Prasad', 'endMemberOf', 'FC Orenburg', '2022-02-01']]
[['Ilija Nestorovski', 'endMemberOf', '1. FC Slovácko', '2022-02-01']]
[['Chema ( footballer, born 1980)', 'endMemberOf', 'Xanthi F. C.', '2022-02-01']]
[['Thomas Lacroix', 'startMemberOf', 'Dumbarton F. C.', '2022-02-01']]
[['Mohsen Bengar', 'startMemberOf', 'Al Ahli SC ( Doha)', '2022-02-01']]
[['Claire Ross', 'startMemberOf', 'Hokkaido University', '2022-02-01']]
[['Kazuhiro D U002E Kanagawa', 'endWorksFor', 'German Research Foundation', '2022-02-01']]
[['Ralf Little', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-02-01']]
[['Frank Karreman', 'startMemberOf', 'FC Vestsjælland', '2022-02-01']]
[['Lee A Burton', 'endWorksFor', 'Université catholique de Louvain', '2022-02-01']]
[['Malte Grashoff', 'startMemberOf', 'VfR Aalen', '2022-02-01']]
[['Danial Esmaeilifar', 'endMemberOf', 'Zob Ahan Esfahan F. C.', '2022-02-01']]
[['Giancarlo Logroscino', 'endWorksFor', 'Harvard University', '2022-02-01']]
[['Wenli Gao', 'endWorksFor', 'State University of New York at Morrisville', '2022-02-01']]
[['Michael Ott', 'startMemberOf', 'Fortitudo Agrigento', '2022-02-01']]
[['Robin Bist', 'startMemberOf', 'Islamabad United', '2022-02-01']]
[['Cheng Hu', 'endWorksFor', 'Loughborough University', '2022-02-01']]
[['Jasper A Estabillo', 'endWorksFor', 'University of California, San Diego', '2022-02-01']]
[['Sergej Milinković-Savić', 'startMemberOf', 'Serbia national football team generic instance', '2022-02-01']]
[['Jasmin Ramic', 'endMemberOf', 'FC Lisse', '2022-02-01']]
[['Phillip Williams', 'startMemberOf', 'Nebraska Cornhuskers men\' s basketball', '2022-02-01']]
[['Skip Mills', 'startMemberOf', 'Western Kentucky Hilltoppers basketball', '2022-02-01']]
[['Rafael Olarra', 'startMemberOf', 'PFC Akademik Sofia', '2022-02-01']]
[['Justin Petty', 'endMemberOf', 'Gazi University', '2022-02-01']]
[['Vishal Banipal', 'endWorksFor', 'Levante UD', '2022-02-01']]
[['Ben Bridges', 'startMemberOf', 'Bristol City W. F. C.', '2022-02-01']]
[['Carol S. Pearson', 'startMemberOf', 'German Research Foundation', '2022-02-01']]
[['Clay Pell', 'startSpouse', 'Michelle Kwan', '2022-02-01']]
[['Martin Hähsler', 'endWorksFor', 'Heidelberg University', '2022-02-01']]
[['Fernando Hurtado ( footballer, born 1983)', 'startMemberOf', 'FK Ventspils', '2022-02-01']]
[['Dustin Maldonado', 'endMemberOf', 'Club Blooming', '2022-02-01']]
[['Emily C Stefano', 'endMemberOf', 'School of GeoSciences, University of Edinburgh', '2022-02-01']]
[['Nikolaos Nikolaou', 'endWorksFor', 'Busan IPark', '2022-02-01']]
[['', 'endMemberOf', 'Waikato Rugby Union', '2022-02-01']]
[['Marcello La Rosa', 'endMemberOf', 'Vila Nova Futebol Clube', '2022-02-01']]
[['Ray Niuia', 'startMemberOf', 'Blues ( Super Rugby)', '2022-02-01']]
[['John G Hardy', 'endMemberOf', 'University of British Columbia', '2022-02-01']]
[['Nikola Lazetić', 'endWorksFor', 'SK Dynamo České Budějovice', '2022-02-01']]
[['Yedda Carvalho Ribéra', 'startMemberOf', 'FC Shakhtar Donetsk', '2022-02-01']]
[['Victor Andrag', 'startMemberOf', 'Grêmio Foot-Ball Porto Alegrense', '2022-02-01']]
[['Gerald Ciolek', 'startMemberOf', 'AG2R Citroën Team', '2022-02-01']]
[['Shazid Md Sharker', 'endWorksFor', 'Stanford University', '2022-02-01']]
[['Dúber Zapata', 'startMemberOf', 'Coronel Bolognesi', '2022-02-01']]
[['Jahmiah Simmons', 'startMemberOf', 'BC Titebi', '2022-02-01']]
[['Sindhu Vudayagiri', 'endWorksFor', 'Technical University of Denmark', '2022-02-01']]
[['Deon Tresvant', 'endMemberOf', 'Cal State Northridge Matadors men\' s basketball', '2022-02-01']]
[['Corentin Martins', 'endMemberOf', 'Clermont Foot', '2022-02-01']]
[['Khaled Al Zaher', 'startMemberOf', 'Asteras Magoula F. C.', '2022-02-01']]
[['Marcelo Tavares ( footballer)', 'endMemberOf', 'Cruzeiro Esporte Clube', '2022-02-01']]
[['Yue-He Ding', 'endWorksFor', 'National Institute Of Biological Sciences U002C Beijing', '2022-02-01']]
[['Adrian Donald', 'endMemberOf', 'Amatori Catania', '2022-02-01']]
[['Oleksandr Nasonov', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-02-01']]
[['Sergey Verkashansky', 'endMemberOf', 'FC Chernomorets Novorossiysk', '2022-02-02']]
[['Andy Holt ( footballer, born 1978)', 'startMemberOf', 'Lincoln United F. C.', '2022-02-03']]
[['Dele Aiyenugba', 'startMemberOf', 'Beşiktaş J. K.', '2022-02-03']]
[['Virginia Humanities', 'endMemberOf', 'Federation Of State Humanities Councils', '2022-02-04']]
[['Frank W Albert', 'endWorksFor', 'University of California, Los Angeles', '2022-02-04']]
[['Giorgos Manousos', 'startMemberOf', 'Asteras Magoula F. C.', '2022-02-05']]
[['Valentina Picca', 'startMemberOf', 'Born to Win G20 Ambedo', '2022-02-06']]
[['Cheick Sy-Savane', 'startMemberOf', 'Eastern Michigan Eagles men\' s basketball', '2022-02-06']]
[['Blake Camp', 'startMemberOf', 'Ottawa Fury FC', '2022-02-07']]
[['Mërgim Vojvoda', 'startMemberOf', 'Oud-Heverlee Leuven', '2022-02-08']]
[['Björn Koos', 'endWorksFor', 'Max Planck Institute of Molecular Physiology', '2022-02-08']]
[['Kerbrell Brown', 'startMemberOf', 'Soles de Mexicali', '2022-02-08']]
[['Tony Bishop', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-02-09']]
[['Sota Nakazawa', 'endMemberOf', 'Kawasaki Frontale', '2022-02-09']]
[['Vladlen Yurchenko', 'endMemberOf', 'FC Shakhtar Donetsk', '2022-02-10']]
[['Willy Guerrero', 'endMemberOf', 'Altamira F. C.', '2022-02-11']]
[['Gregory Mertens', 'startMemberOf', 'Trat F. C.', '2022-02-11']]
[['David Odonkor', 'startMemberOf', 'Ottawa Fury FC', '2022-02-12']]
[['Dmitry Korzh', 'startMemberOf', 'Ahal FK', '2022-02-12']]
[['Ayoub Azzi', 'startMemberOf', 'CA Bordj Bou Arréridj', '2022-02-12']]
[['Alex Tyler', 'endMemberOf', 'Cornell Big Red men\' s basketball', '2022-02-14']]
[['Darnell Thompson', 'endWorksFor', '1. FC Union Berlin', '2022-02-14']]
[['Rob Vincent', 'endMemberOf', 'North Carolina Fusion U23', '2022-02-14']]
[['Naomi De Roeck', 'startMemberOf', 'Lviv Cycling Team ( women\' s team)', '2022-02-15']]
[['Tonderai Chavhanga', 'startMemberOf', 'Eastern Province Elephants', '2022-02-15']]
[['Adrián Marín ( footballer, born 1997)', 'endMemberOf', 'Spain national under-17 football team generic instance', '2022-02-15']]
[['Luke O\' Neill ( footballer)', 'endMemberOf', 'Mansfield Town F. C.', '2022-02-15']]
[['Slaven Kovačević', 'startMemberOf', 'Asteras Magoula F. C.', '2022-02-16']]
[['Alex Zimnickas', 'startMemberOf', 'Western Kentucky Hilltoppers basketball', '2022-02-17']]
[['Mário Carlos', 'endMemberOf', 'U. D. Leiria', '2022-02-18']]
[['Nevi Gebreselasie', 'endMemberOf', 'Adelaide Omonia Cobras FC', '2022-02-18']]
[['Akeem Bennett', 'startMemberOf', 'Onisilos Sotira', '2022-02-19']]
[['Michael Hooper ( rugby union)', 'endMemberOf', 'Virginia Cavaliers men\' s basketball', '2022-02-22']]
[['Džemal Berberović', 'endMemberOf', 'Ross County F. C.', '2022-02-22']]
[['Jane Muir', 'startMemberOf', 'Gil Vicente F. C.', '2022-02-22']]
[['Gregor Zore', 'endMemberOf', 'NK Krka', '2022-02-22']]
[['Éva Auksz', 'endMemberOf', 'MSV Duisburg', '2022-02-22']]
[['Yūsuke Takamatsu', 'endMemberOf', 'Passlab Yamagata Wyverns', '2022-02-22']]
[['Marion Curtis', 'endMemberOf', 'Dynamo Dresden', '2022-02-22']]
[['Jamie Brooks', 'startMemberOf', 'Crawley Town F. C.', '2022-02-22']]
[['Hiroshi Kawaguchi', 'endMemberOf', 'Cycling Elite Copenhagen', '2022-02-23']]
[['François Saillant', 'startMemberOf', 'Étoile Carouge FC', '2022-02-23']]
[['John Thompson ( footballer, born 1981)', 'startMemberOf', 'Mossley A. F. C.', '2022-02-23']]
[['Manuel Peter', 'endMemberOf', 'McGill University', '2022-02-23']]
[['Piotr Klepczarek', 'endWorksFor', 'Club Africain', '2022-02-23']]
[['Gabriel Vidal', 'endMemberOf', 'Cuba national football team generic instance', '2022-02-24']]
[['Kenia El-Jaick', 'startMemberOf', 'K. A. A. Gent', '2022-02-24']]
[['Jackson Coleman', 'endMemberOf', 'CB Breogán', '2022-02-24']]
[['Hao-Ran Shen', 'startMemberOf', 'Panthrakikos F. C.', '2022-02-24']]
[['Zhao Jun ( footballer, born 1988)', 'startMemberOf', 'ND Gorica', '2022-02-24']]
[['Cameron Jordan', 'endMemberOf', 'Tennessee State Tigers basketball', '2022-02-24']]
[['Domenico Zampaglione', 'startMemberOf', 'Olbia Calcio 1905', '2022-02-25']]
[['Tauras Skripkauskas', 'endMemberOf', 'Charleston Cougars men\' s basketball', '2022-02-25']]
[['John E Moses', 'endWorksFor', 'La Trobe University', '2022-02-25']]
[['Chris Moore', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-02-25']]
[['Todor Todorov ( footballer, born November 1982)', 'startMemberOf', 'PFC Akademik Sofia', '2022-02-25']]
[['Paul Doyle ( Scottish footballer)', 'endMemberOf', 'East Fife F. C.', '2022-02-27']]
[['Ha-Na Kim', 'endWorksFor', 'Catholic University of Korea St. Vincent\' s Hospital', '2022-02-28']]
[['Massimo Giunti', 'startMemberOf', 'UAE Team Emirates', '2022-02-28']]
[['Łukasz Jasiński', 'startMemberOf', 'Simba S. C.', '2022-02-28']]
[['Lev Potapov', 'startMemberOf', 'FC Olimpia Volgograd', '2022-02-28']]
[['Jonathan Reis', 'startMemberOf', 'Júbilo Iwata', '2022-02-28']]
[['Tomi Suoniemi', 'startMemberOf', 'Asplöven HC', '2022-02-28']]
[['Nitipong Selanon', 'endMemberOf', 'Chonburi F. C.', '2022-02-28']]
[['Sinan Gümüş', 'startMemberOf', 'Celtic F. C.', '2022-02-28']]
[['Nepo Laulala', 'startMemberOf', 'Blues ( Super Rugby)', '2022-02-28']]
[['Andrew Nabbout', 'startMemberOf', 'Hume City FC', '2022-02-28']]
[['Mario Fillinger', 'startMemberOf', 'Eintracht Braunschweig II', '2022-02-28']]
[['Eric Channing', 'endMemberOf', 'Yulon Luxgen Dinos', '2022-02-28']]
[['Aleksandr Puzevich', 'startMemberOf', 'Trat F. C.', '2022-02-28']]
[['James Stemper', 'endMemberOf', '5-Hour Energy ( cycling team)', '2022-02-28']]
[['Oleksandr Aharin', 'endMemberOf', 'FC Ihroservice Simferopol', '2022-02-28']]
[['Ann Johnson', 'endWorksFor', 'Fulbright Association', '2022-02-28']]
[['Samet Bulut', 'endMemberOf', 'Spor Toto Cycling Team', '2022-02-28']]
[['Yanbao Yu', 'endWorksFor', 'University of North Carolina at Chapel Hill', '2022-02-28']]
[['Kimi Linnainmaa', 'endMemberOf', 'Helsinki Roosters', '2022-02-28']]
[['Stéphane Lièvre', 'endMemberOf', 'Toulouse FC', '2022-02-28']]
[['Mohammad Zarei', 'endWorksFor', 'University of Kurdistan ( Iran)', '2022-02-28']]
[['Vasili Mironik', 'startMemberOf', 'FK Ventspils', '2022-02-28']]
[['Sangeetha Balabhadra', 'endWorksFor', 'University of Canterbury', '2022-02-28']]
[['Wilmar Jordán', 'startMemberOf', 'South Korea national football team generic instance', '2022-02-28']]
[['Mamadou Bah', 'startMemberOf', 'Beşiktaş J. K.', '2022-03-01']]
[['Benjamin Gorka', 'endMemberOf', 'US Dax', '2022-03-01']]
[['Trầ n Minh Quang', 'endMemberOf', 'Parramatta Power SC', '2022-03-01']]
[['Eider Mendizabal', 'endMemberOf', 'Bizkaia– Durango', '2022-03-01']]
[['Martin Peralta-Gil', 'startWorksFor', 'BC Andorra', '2022-03-01']]
[['Boris Andrievsky', 'startMemberOf', 'FC Gorodeya', '2022-03-01']]
[['Troy Caupain', 'startMemberOf', 'Chicago Bulls', '2022-03-01']]
[['Predrag Vujović', 'startMemberOf', 'FK Sinđelić Beograd', '2022-03-01']]
[['Salvador Puig I Asbert', 'endMemberOf', 'BM Granollers', '2022-03-01']]
[['Thomas Longden', 'endWorksFor', 'Macquarie University', '2022-03-01']]
[['Abdoulaye Faye', 'startMemberOf', 'Morocco national football team generic instance', '2022-03-01']]
[['Phil Christensen', 'endMemberOf', 'Tulane Green Wave men\' s basketball', '2022-03-01']]
[['Joan-Daniel Bezsonoff', 'endMemberOf', 'Albert Einstein College of Medicine', '2022-03-01']]
[['Lloyd Macklin', 'endWorksFor', 'Türkiyemspor Berlin', '2022-03-01']]
[['Farzaneh Sardari', 'endWorksFor', 'Shahid Sadoughi University of Medical Sciences', '2022-03-01']]
[['Oumar Traoré ( Senegalese footballer)', 'endMemberOf', 'AEK Larnaca FC', '2022-03-01']]
[['Georges Dahm', 'startMemberOf', 'Rashtrasant Tukadoji Maharaj Nagpur University', '2022-03-01']]
[['Nilesh R Rarokar', 'endWorksFor', 'Turkey national under-18 football team', '2022-03-01']]
[['Robin Olsen', 'endMemberOf', 'F. C. Copenhagen', '2022-03-01']]
[['Krisztián Timár', 'endMemberOf', 'Kirkintilloch Rob Roy F. C.', '2022-03-01']]
[['Jon Reed', 'startMemberOf', 'Clube 15 de Novembro', '2022-03-01']]
[['Zhen Zhang', 'startMemberOf', 'European Bioinformatics Institute', '2022-03-01']]
[['Daniel Schober', 'endWorksFor', 'Plymouth Argyle F. C.', '2022-03-01']]
[['Ryan Dickson', 'startMemberOf', 'Fehérvár FC', '2022-03-01']]
[['Kevin Mcguire', 'endWorksFor', 'Plymouth State University', '2022-03-01']]
[['Josh Clemons', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-03-01']]
[['Alperen Uysal', 'endMemberOf', 'Turkey national under-20 football team generic instance', '2022-03-01']]
[['Adrian Tracy', 'startMemberOf', 'UAE Team Emirates', '2022-03-01']]
[['Sula Matovu', 'endMemberOf', 'FC Sibiryak Bratsk', '2022-03-01']]
[['Vitali Seletskiy', 'startMemberOf', 'BK Häcken', '2022-03-01']]
[['Vitali Safronov', 'endMemberOf', 'FC Salyut Belgorod', '2022-03-01']]
[['Andrejs Butriks', 'endMemberOf', 'Anagennisi Epanomi F U002E C U002E ', '2022-03-01']]
[['Alessandro Colasante', 'startMemberOf', 'Olbia Calcio 1905', '2022-03-01']]
[['Aaron Maund', 'endMemberOf', 'Toronto FC', '2022-03-01']]
[['Alberto Tapetado', 'startMemberOf', 'NOVA School of Science and Technology', '2022-03-01']]
[['Louis Birdsong', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-03-01']]
[['Karine Bastard', 'endWorksFor', 'Stanford University', '2022-03-01']]
[['Philipe Sampaio', 'endMemberOf', 'FC Andorra', '2022-03-01']]
[['Aurelia Visa', 'endMemberOf', 'U. S. Pergolettese 1932', '2022-03-01']]
[['Renato Torres', 'endWorksFor', 'F91 Dudelange', '2022-03-01']]
[['Bu Yuan Guan', 'startMemberOf', 'Turkey national under-20 football team generic instance', '2022-03-01']]
[['Abdi Aktaş', 'startMemberOf', 'Nazilli Belediyespor', '2022-03-01']]
[['Bohdan Yesyp', 'startMemberOf', 'Ottawa Fury FC', '2022-03-01']]
[['Marcelo Serrano Zanetti', 'endWorksFor', 'Federal University of Maranhão', '2022-03-01']]
[['Stefan Vreugdenhil', 'startMemberOf', 'Intermarché– Circus– Wanty', '2022-03-01']]
[['Praveen Kokkonda', 'endWorksFor', 'Harvard University', '2022-03-01']]
[['Ray Niuia', 'endMemberOf', 'Blues ( Super Rugby)', '2022-03-01']]
[['Aleksey Butarevich', 'startMemberOf', 'Trat F. C.', '2022-03-01']]
[['Oleh Danchenko', 'endMemberOf', 'FC Shakhtar Donetsk', '2022-03-01']]
[['Padraig Cantillon-Murphy', 'endWorksFor', 'Imperial College London', '2022-03-01']]
[['Mark Bentley', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-03-01']]
[['Hubert Busby Jr.', 'endMemberOf', 'FK Sinđelić Beograd', '2022-03-01']]
[['Aleksandar Kirovski', 'startMemberOf', 'Wellington cricket team', '2022-03-01']]
[['Agnes Piecyk', 'startMemberOf', 'German Research Foundation', '2022-03-01']]
[['Monika K U002E Rabarison', 'startMemberOf', 'University Of Oxford University College Oxford', '2022-03-01']]
[['Ihor Tyshchenko', 'endMemberOf', 'FC Mariupol', '2022-03-01']]
[['Maria L Odyniec', 'endWorksFor', 'Portogruaro Calcio A. S. D.', '2022-03-01']]
[['Vojislav Vranjković', 'startMemberOf', 'FK Sinđelić Beograd', '2022-03-01']]
[['Feng He', 'endWorksFor', 'University of Nottingham Ningbo China', '2022-03-01']]
[['Juan Villalonga', 'endSpouse', 'Adriana Abascal', '2022-03-01']]
[['Chidi Osuchukwu', 'startMemberOf', 'Panionios F. C.', '2022-03-01']]
[['Wyatt Battaile', 'endMemberOf', 'Louisville Cardinals men\' s basketball', '2022-03-01']]
[['Katherine Bigelow', 'endWorksFor', 'Indiana University Health Methodist Hospital', '2022-03-01']]
[['Konduru Seetharama Sastry', 'endWorksFor', 'Weill Cornell Medical College in Qatar', '2022-03-01']]
[['Plamen Petrov', 'startMemberOf', 'PFC Akademik Sofia', '2022-03-01']]
[['Marcus Brown', 'startMemberOf', 'CB Breogán', '2022-03-01']]
[['Vladimir Maljković', 'startMemberOf', 'Ottawa Fury FC', '2022-03-01']]
[['Peter O\' Mahony', 'startMemberOf', 'Emerging Ireland', '2022-03-01']]
[['Alexander Jakobsen', 'startMemberOf', 'FC Vestsjælland', '2022-03-01']]
[['Kevin Heaslip', 'endWorksFor', 'Utah State University', '2022-03-01']]
[['Emily Maglio', 'endMemberOf', 'Azzurra Volley San Casciano', '2022-03-01']]
[['Hermoine J Venter', 'endMemberOf', 'Ottawa Fury FC', '2022-03-01']]
[['Katie Adolphus', 'startMemberOf', 'German Research Foundation', '2022-03-01']]
[['Ruan Dreyer', 'startMemberOf', 'Eastern Province Elephants', '2022-03-01']]
[['Evan Fisher', 'startMemberOf', 'Kagoshima Rebnise', '2022-03-01']]
[['Thibault Marchal', 'startMemberOf', 'Le Puy Foot 43 Auvergne', '2022-03-01']]
[['Iliya Munin', 'startMemberOf', 'South Korea national football team generic instance', '2022-03-01']]
[['Marquinhos ( footballer, born June 1989)', 'endMemberOf', 'Vila Nova Futebol Clube', '2022-03-01']]
[['Predrag Mijatović', 'startMemberOf', 'FC Andorra', '2022-03-01']]
[['Terrance Grier', 'startMemberOf', 'Xavier Musketeers men\' s basketball', '2022-03-01']]
[['David Moser', 'startMemberOf', 'Switzerland national under-20 football team', '2022-03-01']]
[['Yijun Pan', 'endWorksFor', 'Monash University', '2022-03-01']]
[['Mattias Wiklöf', 'endMemberOf', 'IK Brage', '2022-03-01']]
[['John Johnston', 'startMemberOf', 'UTEP Miners men\' s basketball', '2022-03-01']]
[['Raja Shakeel Mushtaque', 'endWorksFor', 'Baptist Hospital of Miami', '2022-03-01']]
[['Carlo Montemagno', 'endMemberOf', 'Soochow University ( Suzhou)', '2022-03-01']]
[['Jacob Kvarven', 'endMemberOf', 'German Research Foundation', '2022-03-01']]
[['Kendall Jagdeosingh', 'startMemberOf', 'Oregon Ducks men\' s basketball', '2022-03-01']]
[['Danijel Subašić', 'endMemberOf', 'HNK Hajduk Split', '2022-03-01']]
[['Cristian Berra', 'endWorksFor', 'German Research Foundation', '2022-03-01']]
[['Jeremiah D Groom', 'endWorksFor', 'Oregon Department of Forestry', '2022-03-01']]
[['Stuart Musialik', 'startMemberOf', 'Kırıkkale Büyük Anadoluspor', '2022-03-01']]
[['Valentin Heller', 'endMemberOf', 'Dover Athletic F. C.', '2022-03-01']]
[['Mutalip Çiçek', 'endWorksFor', 'Dicle University', '2022-03-01']]
[['Stephen McKeown', 'startMemberOf', 'S. F. K. Pierikos ( football)', '2022-03-01']]
[['Miles Davis', 'endMemberOf', 'Cal State Fullerton Titans men\' s basketball', '2022-03-01']]
[['Stiven Mendoza', 'endMemberOf', 'Deportivo Cali', '2022-03-01']]
[['Brice Aka', 'startMemberOf', 'Persita Tangerang', '2022-03-01']]
[['Jacqueline Abranches', 'endWorksFor', 'University of Rochester', '2022-03-01']]
[['Elizabeth A Murray', 'endWorksFor', 'Smithsonian Institution', '2022-03-01']]
