[['Ruth Davis (basketball)', 'award', 'Pac-12 Conference Women\'s Basketball Player of the Year', '2015-01-01']]
[['Thuong T.M. Pham', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Wesley Davis', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Anthony Piganelli', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Cle-Anne Gabriel', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Emily E. Clark', 'startAcademicDegree', 'Bachelor of Arts', '2015-01-01']]
[['Ravi Naidu', 'startAcademicDegree', 'Doctor of Science', '2015-01-01']]
[['Bobby Wilson (mathematician)', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Allison Rainey', 'endWorksFor', 'Columbia University Irving Medical Center', '2015-01-01']]
[['Jessica Knoth', 'startAcademicDegree', 'Bachelor of Science', '2015-01-01']]
[['Ricoh Czech Republic', 'endLeader', 'Milan Maděryč', '2015-01-01']]
[['Kris Davis', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Callum Rees', 'startAcademicDegree', 'Master of Science', '2015-01-01']]
[['Matthew D Hammond', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Samantha Maree Keene', 'startAcademicDegree', 'Master of Arts', '2015-01-01']]
[['Kyle Wilson', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Stanley Winser', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Luke Easton', 'startAcademicDegree', 'Master of Science', '2015-01-01']]
[['Dominic Romeo', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Justin Burrell', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['David W. Waite', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Poonam Mehta', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Zhongtian Mao', 'startAcademicDegree', 'Bachelor of Science', '2015-01-01']]
[['Charles Harris', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Tianzi Zhang', 'startAcademicDegree', 'Bachelor of Arts', '2015-01-01']]
[['Aaron Stevens', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Andrew Crowley', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['John Dickerson (journalist)', 'startNotableWork', 'Face the Nation', '2015-01-01']]
[['Slava Voynov', 'endPlaysIn', 'National Hockey League', '2015-01-01']]
[['Jordan Parks', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Wanaah Bail', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Corey Littlejohn', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Jeremiah Curtis', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Demarcus Robinson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Gary Akbar', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Ruijie Liu', 'endWorksFor', 'WEHI', '2015-01-01']]
[['Khadim Ndiaye', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Karl-Anthony Towns', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Matt Korcheck', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Mikael Hopkins', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Brett Olson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Nick Cunningham', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Devanil Choudhury', 'endWorksFor', 'Indian Institutes of Technology', '2016-01-10']]
[['Morgan Ellis', 'endPlaysIn', 'National Hockey League', '2016-01-01']]
[['T.J. Shipes', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Tim Marshall', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Jedediah Bila', 'startNotableWork', 'The View (talk show)', '2016-01-01']]
[['Oliver Ellison', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Jeffery Moss', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Tyree Chambers', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Paul Moretti', 'endWorksFor', 'Institut national de la recherche agronomique', '2016-01-01']]
[['Brandon Busuttil', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Uday P Pratap', 'endWorksFor', 'SRM Institute of Science and Technology', '2016-01-01']]
[['Taylor Danaher', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Nick Victor', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Route nationale 19', 'startTerminus', 'Brevilliers', '2016-01-01']]
[['Lamine Mbodj', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['3 Italy', 'endLeader', 'Vincenzo Novari', '2016-01-01']]
[['Gerrit Scheepers', 'endAcademicDegree', 'Master of Music', '2016-01-01']]
[['Monistrol de Calders', 'endLeader', 'Ramon Vancells I Casacuberta', '2016-01-01']]
[['Bruce Beckford', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Taylor Johns', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Jared Ertel', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Ayo Adedeji', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Darius Perkins', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Yonel Brown', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Jared Johnson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['United Nations Environment Programme', 'endLeader', 'Achim Steiner', '2016-01-01']]
[['Darren Dietz', 'endPlaysIn', 'National Hockey League', '2016-01-01']]
[['Kenny Grant', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Dayon Goodman', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Travis Hammonds', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Ciro De Vincenzo', 'endWorksFor', 'University of Padua', '2016-01-30']]
[['Ayron Hutton', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Josh Adeyeye', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Alison Montagrin', 'endWorksFor', 'University of Geneva', '2016-01-01']]
[['Jose Rodriguez', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Tate Stensgaard', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Codi Miller-McIntyre', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Erin D. Basinger', 'endAcademicDegree', 'Doctor of Philosophy', '2016-01-01']]
[['Sandeep Manandhar', 'endWorksFor', 'Pacific Northwest National Laboratory', '2016-01-22']]
[['Jeremy E Chojnacki', 'endWorksFor', 'Virginia Commonwealth University', '2016-01-25']]
[['Ethan Baruch', 'endWorksFor', 'Duke University', '2016-01-01']]
[['Trae Anderson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Hooper Vint', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Connor Schroeder', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Grant Troutt', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Iván Cruz-Uceda', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Frederic Dure', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Heather A. Howard', 'endWorksFor', 'Trine University', '2016-01-01']]
[['Joana Isabel Monteiro Pinto', 'endWorksFor', 'University of Cambridge', '2016-01-01']]
[['Firoz Babu Kadumudi', 'endWorksFor', 'University of Ulsan', '2016-01-21']]
[['Chauncey Collins', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Chris Perry', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Walter Dellisanti', 'endWorksFor', 'National Institute Of Oceanography And Applied Geophysics - Ogs', '2016-01-31']]
[['Casey Kasperbauer', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Andrew Andrews', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Ian Sean Reynolds', 'endWorksFor', 'Mayo University Hospital', '2016-01-01']]
[['Jhonny Victor', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Ian Proulx', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Jason Boswell', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Anthony Barber (basketball)', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Collin K Chin', 'endWorksFor', 'Fiona Stanley Hospital', '2016-01-01']]
[['Joshua Friar', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Jelle Folkerts', 'endWorksFor', 'Utrecht University', '2016-01-01']]
[['Filip Nowicki', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Jordan Barros', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Fabian Hertel', 'endWorksFor', 'University of California, San Diego', '2016-01-01']]
[['Yan Zheng', 'endWorksFor', 'City University of New York', '2016-01-01']]
[['Jesse Reed', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Kris Yanku', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Evan Cummins', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Nick Benninger', 'startOwns', 'Harmony Lunch', '2016-01-01']]
[['Carl Poree', 'endWorksFor', 'RWTH Aachen University', '2016-01-01']]
[['David Lafehr', 'endWorksFor', 'Stanford University', '2016-01-01']]
[['Julian Jacobs (basketball)', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Katharine K Miller', 'endWorksFor', 'University Medical Center Hamburg-Eppendorf', '2016-01-01']]
[['Lindsey Hunter Iv', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Johnathan Spicer', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Zach Allison', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Jay Dehaan', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Kyle Gonzalez', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Sibel Kalyoncu', 'endWorksFor', 'Georgia Tech', '2016-01-01']]
[['Cody Demps', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Alex Poythress', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Malik Nichols', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Travon Baker', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Siamak P Nejad-Davarani', 'endWorksFor', 'University of Michigan', '2016-01-01']]
[['Deshaun Thrower', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Tre Vance', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Austin Mankin', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Bianca Hoban', 'endWorksFor', 'University of Wollongong', '2016-01-01']]
[['Gonzalo Lopez', 'endWorksFor', 'Columbia University Irving Medical Center', '2016-01-31']]
[['Anton Wilson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Deandre Barber', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Austin Eagleton', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2016-01-01']]
[['Karlsruhe University of Arts and Design', 'endLeader', 'Volker Albus', '2016-01-01']]
[['Dimitri Pletschette', 'endAcademicDegree', 'Bachelor\'s degree', '2016-01-01']]
[['Akira S Gutierrez', 'endWorksFor', 'Tufts University', '2016-01-01']]
[['Sumyya Waliullah', 'endWorksFor', 'Ohio State University', '2016-01-01']]
[['Renske Huffmeijer', 'endWorksFor', 'Paris Descartes University', '2016-01-01']]
[['Eric Adamson', 'endWorksFor', 'Arizona State University', '2016-01-01']]
[['Tom Depover', 'endWorksFor', 'Ghent University', '2016-01-01']]
[['Natthachet Tangdamrongsub', 'endWorksFor', 'Delft University of Technology', '2016-01-01']]
[['Fattah Amin', 'startOwns', 'Stalkers Cafe', '2016-01-01']]
[['Chia-Hao Chang-Yang', 'endWorksFor', 'Smithsonian Environmental Research Center', '2016-01-01']]
[['A Jess Williams', 'endWorksFor', 'University of Nottingham', '2016-01-01']]
[['Daniele Soria', 'endWorksFor', 'University of Nottingham', '2016-01-01']]
[['Bhupal Dev', 'endWorksFor', 'Max Planck Institute for Nuclear Physics', '2016-01-01']]
[['G. Burch Fisher', 'endWorksFor', 'University of Texas at Austin', '2016-01-01']]
[['Joanna Blackwell', 'endWorksFor', 'University of Lincoln', '2016-01-01']]
[['Leon Tribolet', 'endWorksFor', 'Monash University', '2017-01-01']]
[['Renjith Bhaskaran', 'endWorksFor', 'Texas A&M University', '2017-01-01']]
[['Lorenzo Rosa', 'endWorksFor', 'Atos', '2017-01-01']]
[['Julie Vignato', 'endWorksFor', 'MiraCosta College', '2017-01-01']]
[['Tomáš Majtner', 'endWorksFor', 'Norwegian University of Science and Technology', '2017-01-01']]
[['Mariasole Da Boit', 'endWorksFor', 'University of Derby', '2017-01-01']]
[['New South Wales', 'endLeader', 'Mike Baird', '2017-01-23']]
[['Hungarian Export-Import Bank Plc.', 'endLeader', 'Zoltán Urbán', '2017-01-01']]
[['Anthony Cirri', 'endWorksFor', 'Ohio State University', '2017-01-01']]
[['Eton Park Capital Management', 'endLeader', 'Eric Mindich', '2017-01-01']]
[['Shibiao Wan', 'endWorksFor', 'Princeton University', '2017-01-01']]
[['Raghu Betha', 'endWorksFor', 'Scripps Institution of Oceanography', '2017-01-01']]
[['Lucia Bossoni', 'endWorksFor', 'Leiden University', '2017-01-01']]
[['Kvartis', 'endLeader', 'Bohumil Kvasnička', '2017-01-01']]
[['Tomasz Bednarz', 'endWorksFor', 'Queensland University of Technology', '2017-01-01']]
[['Giorgos Leloudas', 'endWorksFor', 'Weizmann Institute of Science', '2017-01-01']]
[['Camilla Steen Jensen', 'endWorksFor', 'Statens Serum Institut', '2017-01-01']]
[['Guillermo Suarez-Tangil', 'endWorksFor', 'Royal Holloway, University of London', '2017-01-31']]
[['Andreu Garcia-Vilanova', 'endWorksFor', 'University of Texas at San Antonio', '2017-01-01']]
[['Tarka Raj Bhatta', 'endWorksFor', 'Tribhuvan University', '2017-01-01']]
[['Amin Riazi', 'endWorksFor', 'Eastern Mediterranean University', '2017-01-01']]
[['Marta Baldrighi', 'endWorksFor', 'Wellcome Sanger Institute', '2017-01-01']]
[['Jyoti Desai', 'endWorksFor', 'University of Nevada, Reno School of Medicine', '2017-01-01']]
[['Ken Takahashi', 'endWorksFor', 'University of Occupational and Environmental Health Japan', '2017-01-31']]
[['Camille Jordan Institute', 'endLeader', 'Sylvie Benzoni', '2017-01-01']]
[['Alexa M Salsbury', 'endWorksFor', 'Cayman Chemical Company', '2017-01-01']]
[['Rakesh Sengupta', 'endWorksFor', 'York University', '2017-01-01']]
[['Es Hernandez', 'endWorksFor', 'California Institute of Technology', '2017-01-01']]
[['Usama M Ammar', 'endWorksFor', 'Ahram Canadian University', '2017-01-31']]
[['Nivedita Das', 'endWorksFor', 'University of South Carolina', '2017-01-01']]
[['Krutika Bavishi', 'endWorksFor', 'University of Copenhagen', '2017-01-01']]
[['Laura T Wey', 'endWorksFor', 'Australian National University', '2017-01-01']]
[['Ashley Bigaran', 'endWorksFor', 'Deakin University - Melbourne Burwood Campus', '2017-01-01']]
[['David Stanković', 'endWorksFor', 'University of Trieste', '2017-01-01']]
[['Matthias Piesche', 'endWorksFor', 'Aarhus University', '2017-01-01']]
[['Ids Praha', 'endLeader', 'Bohumil Kvasnička', '2017-01-01']]
[['Jönköping County', 'endLeader', 'Anneli Wirtén', '2018-01-01']]
[['Os, Hordaland', 'endLeader', 'Marie Lunde Bruarøy', '2018-01-01']]
[['Indre Østfold (municipality)', 'startReplaces', 'Hobøl', '2020-01-01']]
[['Indre Østfold (municipality)', 'startReplaces', 'Trøgstad', '2020-01-01']]
[['Anna Starzyńska', 'startAcademicDegree', 'Habilitation', '2015-02-19']]
[['Dorota Żyżelewicz', 'startAcademicDegree', 'Habilitation', '2015-02-24']]
[['Daniela Römer', 'endWorksFor', 'University of Würzburg', '2015-02-16']]
[['Ludmiła Daniłowicz-Szymanowicz', 'startAcademicDegree', 'Habilitation', '2015-02-19']]
[['Établissement Public Du Palais De Justice De Paris', 'startLeader', 'Marie-Luce Bousseton', '2015-02-01']]
[['Emily M. Walker', 'startWorksFor', 'Vanderbilt University Medical Center', '2015-02-02']]
[['Marc Olivier Renou', 'startWorksFor', 'University of Geneva', '2015-02-01']]
[['Aurore Maureaud', 'endWorksFor', 'University of Queensland', '2015-02-01']]
[['Sabina Vatter', 'endWorksFor', 'Central Manchester University Hospitals NHS Foundation Trust', '2015-02-28']]
[['Westpac', 'startLeader', 'Brian Hartzer', '2015-02-02']]
[['Andrew B Fielding', 'startWorksFor', 'University of Liverpool', '2015-02-01']]
[['Dong Hwa Lee', 'endWorksFor', 'Seoul National University Hospital', '2015-02-28']]
[['Nathalie Genet-Rouffiac', 'award', 'Officer Of Arts And Letters', '2015-02-13']]
[['Caracas', 'startLeader', 'Helen Fernández', '2015-02-19']]
[['Mithilesh Prakash', 'endWorksFor', 'Tampere University Hospital', '2015-02-28']]
[['Chaco Province', 'startLeader', 'Jorge Capitanich', '2015-02-27']]
[['Mahboubeh Maleki', 'startWorksFor', 'Casa Sollievo della Sofferenza', '2015-02-01']]
[['Philippe Claudel', 'award', 'Honorary Doctor Of The Katholieke Universiteit Leuven', '2015-02-02']]
[['Vitry-sur-Seine', 'startLeader', 'Jean-Claude Kennedy', '2015-02-01']]
[['Mireille Ballestrazzi', 'award', 'Commandeur Des Arts Et Des Lettres‎', '2015-02-13']]
[['Napoleon Waszkiewicz', 'startAcademicDegree', 'Habilitation', '2015-02-25']]
[['Diederik Vg Meylemans', 'startWorksFor', 'Jessa Hospital', '2015-02-01']]
[['Orbital Atk', 'startLeader', 'David W. Thompson', '2015-02-09']]
[['Fabian Itel', 'startWorksFor', 'Aarhus University', '2016-02-01']]
[['Mark D Long', 'startWorksFor', 'Roswell Park Comprehensive Cancer Center', '2016-02-18']]
[['Clement Lee', 'startWorksFor', 'Newcastle University', '2016-02-15']]
[['Michel Franck', 'award', 'Officer Of Arts And Letters', '2016-02-10']]
[['Émilie Simon', 'award', 'Chevalier Des Arts Et Des Lettres', '2016-02-10']]
[['Alexandre Miguel Cavaco Rodrigues', 'endWorksFor', 'University of Algarve', '2016-02-29']]
[['Eduardo López Caneda', 'startWorksFor', 'Fundação para a Ciência e Tecnologia', '2016-02-01']]
[['Katrin Beckmann', 'endWorksFor', 'Animal Health Trust', '2016-02-28']]
[['Patricia Loison', 'award', 'Chevalier Des Arts Et Des Lettres', '2016-02-10']]
[['Ryo Sekiya', 'startWorksFor', 'Catalan Institute Of Chemical Research', '2016-02-01']]
[['Abdulla Desmal', 'startWorksFor', 'Tufts University', '2016-02-01']]
[['Mustafa Yalçınkaya', 'startWorksFor', 'University of Zurich', '2016-02-09']]
[['Västmanland County', 'startLeader', 'Minoo Akhtarzand', '2016-02-01']]
[['Han-Yi Fu', 'startWorksFor', 'Academia Sinica', '2016-02-15']]
[['Sang-Min Park', 'endWorksFor', 'Seoul National University Hospital', '2016-02-29']]
[['Seung Eun Lee', 'endWorksFor', 'Dongguk University Ilsan Hospital', '2016-02-28']]
[['Clémentine Maurice', 'startWorksFor', 'Graz University of Technology', '2016-02-08']]
[['James M. Simpson', 'startWorksFor', 'University of Edinburgh', '2016-02-01']]
[['Letícia Queiroz Da Silva', 'endWorksFor', 'São Paulo Research Foundation', '2016-02-01']]
[['Christopher P Davey', 'endWorksFor', 'University of Leeds', '2016-02-27']]
[['Michihiro Hirata', 'startWorksFor', 'Tohoku University', '2016-02-01']]
[['Damonte (gamer)', 'startMemberOf', 'Echo Fox', '2016-02-01']]
[['Willinton Y. Hernández', 'startWorksFor', 'Solvay (China)', '2017-02-01']]
[['Trine Damsted Rasmussen', 'endWorksFor', 'University of Copenhagen', '2017-02-01']]
[['Nishant Gupta', 'startWorksFor', 'Max Super Speciality Hospital, Saket', '2017-02-15']]
[['Xuefeng Yan', 'endWorksFor', 'Harbin Medical University', '2017-02-01']]
[['Dhirendra K. Chaudhary', 'startWorksFor', 'Indian Institute of Science Education and Research, Kolkata', '2017-02-27']]
[['Patrícia S Guerreiro', 'startWorksFor', 'Instituto Gulbenkian de Ciência', '2017-02-01']]
[['Mr. & Mrs. Mxyzptlk', 'startContentLocation', 'Fortress of Solitude', '2017-02-01']]
[['Yukun Hu', 'endWorksFor', 'University of Warwick', '2017-02-28']]
[['Homecoming (Supergirl)', 'startContentLocation', 'National City (DC Comics)', '2017-02-01']]
