[['Osniel Melgarejo', 'endMemberOf', 'Panathinaikos V. C.', '2026-01-01'], ['Coralie Lassource', 'endMemberOf', 'Apollo College Of Veterinary Medicine U002C Jaipur', '2026-01-01'], ['Raúl González ( handballer)', 'endMemberOf', 'BM Granollers', '2026-01-04'], ['Sabina Jacobsen', 'endMemberOf', 'Ikast Håndbold', '2026-01-31']]
[['Nick Patella', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-03-07'], ['Troy Snyder', 'endMemberOf', 'Oregon State University', '2026-03-08'], ['Jonathan Mulmore', 'endMemberOf', 'Georgetown Hoyas men\' s basketball', '2026-03-09'], ['Brandon Griffin', 'endMemberOf', 'Southeast Missouri State Redhawks men\' s basketball', '2026-03-12']]
[['Mike Miller', 'startMemberOf', 'North Carolina Central Eagles men\' s basketball', '2026-03-20'], ['Oliver Lynch-Daniels', 'endMemberOf', 'Houston Christian Huskies men\' s basketball', '2026-03-21'], ['K. J. Robinson', 'startMemberOf', 'CA Saint-Étienne Loire Sud Rugby', '2026-03-21'], ['Ian Elseth', 'endMemberOf', 'Oregon State Beavers men\' s basketball', '2026-03-21']]
[['Miles Wright', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-03-24'], ['Alex Moffatt', 'startMemberOf', 'Kansas Jayhawks men\' s basketball', '2026-03-27'], ['Jordan Ratinho', 'endMemberOf', 'San Francisco Dons men\' s basketball', '2026-03-29'], ['Kellen Blake', 'startMemberOf', 'Nebraska Cornhuskers men\' s basketball', '2026-03-29']]
[['Matt James', 'startMemberOf', 'BC Andorra', '2026-03-30'], ['Deon Stroud', 'endMemberOf', 'UTEP Miners men\' s basketball', '2026-03-31'], ['Myles Mckay', 'startMemberOf', 'UT Rio Grande Valley Vaqueros men\' s basketball', '2026-03-31'], ['Kevin Hervey', 'startMemberOf', 'Cáceres Ciudad del Baloncesto', '2026-03-31']]
[['D U0027 Angalo Jackson', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-03-31'], ['Tom Moosmayer', 'endMemberOf', 'Gonzaga Bulldogs men\' s basketball', '2026-03-31'], ['Ryan Woolridge', 'endMemberOf', 'Gonzaga Bulldogs men\' s basketball', '2026-03-31'], ['Jason Thompson', 'endMemberOf', 'Antalya Büyükşehir Belediyesi', '2026-03-31']]
[['Mike Bedulskis', 'endMemberOf', 'UNC Asheville Bulldogs men\' s basketball', '2026-04-01'], ['David Thompson', 'endMemberOf', 'Santa Clara Broncos men\' s basketball', '2026-04-01'], ['Elias ( footballer, born 1983)', 'startMemberOf', 'Fundación Basket Mérida', '2026-04-01'], ['Luke Fabrizius', 'startMemberOf', 'BC Minsk', '2026-04-01']]
[['Anthony Vereen', 'startMemberOf', 'HTV Basket', '2026-04-06'], ['Justin Gant', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-04-07'], ['Lorenzo Burks', 'startMemberOf', 'Golden State Warriors', '2026-04-12'], ['Nikos Zisis', 'startMemberOf', 'CB Breogán', '2026-04-14']]
[['Kwasi Gyambibi', 'startMemberOf', 'Chicago Bulls', '2026-04-15'], ['Christopher Anderson', 'startMemberOf', 'Gipuzkoa Basket', '2026-04-15'], ['Derek Wheeler', 'endMemberOf', 'UC Santa Barbara Gauchos men\' s basketball', '2026-04-15'], ['Hasan Sönmez', 'endMemberOf', 'Panathinaikos V. C.', '2026-04-15']]
[['Emelie Ölander', 'endMemberOf', 'Emerging Ireland', '2026-04-15'], ['Sebastian Yates', 'endMemberOf', 'Tulane Green Wave men\' s basketball', '2026-04-15'], ['Jakuta Alikavazovic', 'startMemberOf', 'Chicago State Cougars men\' s basketball', '2026-04-15'], ['Jamaal Moore', 'startMemberOf', 'BC Andorra', '2026-04-15']]
[['Carlo Dorazio', 'endMemberOf', 'Pittsburgh Panthers men\' s basketball', '2026-04-16'], ['Jamil Tucker', 'startMemberOf', 'Milwaukee Bucks', '2026-04-18'], ['Ruandy Melo', 'endMemberOf', 'St. Francis Brooklyn Terriers men\' s basketball', '2026-04-21'], ['Stephen Carr', 'endWorksFor', 'San-en NeoPhoenix', '2026-04-26']]
[['Donovan Gregory', 'startWorksFor', 'Uruguay national under-20 football team', '2026-05-01'], ['Etoagwara Onyenegecha', 'endMemberOf', 'Cal State Northridge Matadors men\' s basketball', '2026-05-01'], ['Travis Smith', 'endMemberOf', 'Grambling State Tigers men\' s basketball', '2026-05-01'], ['Darrius Garrett', 'startMemberOf', 'BC Andorra', '2026-05-01']]
[['Sanchez Hughley', 'startMemberOf', 'San-en NeoPhoenix', '2026-05-01'], ['Austin Loop', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-05-01'], ['Brandon Holtz', 'startMemberOf', 'Jackson State Tigers basketball', '2026-05-01'], ['Richard Njoku', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-05-01']]
[['Larry Mcgaughney', 'endMemberOf', 'Fresno State Bulldogs men\' s basketball', '2026-05-01'], ['Jerran Foster', 'startMemberOf', 'Xavier Musketeers men\' s basketball', '2026-05-01'], ['Tyler King', 'startMemberOf', 'Ole Miss Rebels men\' s basketball', '2026-05-01'], ['Rodrigue Djahue', 'endMemberOf', 'Miami Hurricanes men\' s basketball', '2026-05-01']]
[['Frédéric Weis', 'startMemberOf', 'CB Granollers', '2026-05-01'], ['Mohamed Diakite', 'endMemberOf', 'St. John\' s Red Storm men\' s basketball', '2026-05-01'], ['Viktoria Mircheva', 'startMemberOf', 'Dynamo Kursk', '2026-05-08'], ['Dan Pangrazio', 'endMemberOf', 'BC Andorra', '2026-05-09']]
[['Jeffrey Viggiano', 'startMemberOf', 'Chiba Jets Funabashi', '2026-05-10'], ['Khalil Iverson', 'endMemberOf', 'Wisconsin Badgers men\' s basketball', '2026-05-10'], ['Nic Thomas', 'endMemberOf', 'Norfolk State Spartans men\' s basketball', '2026-05-10'], ['Jeremy Hayes', 'endMemberOf', 'Louisiana Ragin\' Cajuns men\' s basketball', '2026-05-11']]
[['Dan Oppland', 'endMemberOf', 'Valparaiso Beacons men\' s basketball', '2026-05-13'], ['Dan Gibbons', 'startMemberOf', 'Sam Houston Bearkats men\' s basketball', '2026-05-14'], ['John Clifford', 'startMemberOf', 'Utah Utes men\' s basketball', '2026-05-14'], ['Rashawn Browne', 'startMemberOf', 'Hiroshima Dragonflies', '2026-05-14']]
[['Stephen O U0027 Suji', 'startMemberOf', 'Norfolk State Spartans men\' s basketball', '2026-05-19'], ['Malik Rhodes', 'startMemberOf', 'Kansas Jayhawks men\' s basketball', '2026-05-20'], ['Ron Manigault', 'startMemberOf', 'CB Peñas Huesca', '2026-05-22'], ['Dantez Walton', 'endMemberOf', 'Northern Kentucky Norse men\' s basketball', '2026-05-25']]
[['Xavier Adams', 'endMemberOf', 'New Mexico Lobos men\' s basketball', '2026-05-30'], ['Dmitri Prudnikov', 'startMemberOf', 'MFK Tyumen', '2026-05-31'], ['Casper Ware', 'startMemberOf', 'Perth Wildcats', '2026-05-31'], ['Rayquan Evans', 'endMemberOf', 'Florida State Seminoles men\' s basketball', '2026-05-31']]
[['Matt Vest', 'startMemberOf', 'Columbus State Cougars Baseball', '2026-06-01'], ['Jeremy Richards', 'endMemberOf', 'Alcorn State Braves basketball', '2026-06-01'], ['Eloísa González', 'startWorksFor', 'S. C. Lusitânia ( basketball)', '2026-06-01'], ['Gareth Seddon', 'endMemberOf', 'Texas Tech Red Raiders basketball', '2026-06-01']]
[['Zach Snyder', 'endMemberOf', 'Duquesne Dukes men\' s basketball', '2026-06-01'], ['Keaton Sanders', 'endMemberOf', 'Palencia Baloncesto', '2026-06-01'], ['Donald Johnson', 'startMemberOf', 'Youngstown State Penguins men\' s basketball', '2026-06-01'], ['Chris Wehye', 'startMemberOf', 'BC Nevėžis', '2026-06-01']]
[['Aaron Thompson', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-06-01'], ['Anthony Brown', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-06-01'], ['Christian Hairston', 'startMemberOf', 'Italy national football C teams', '2026-06-01'], ['Chris Reaves', 'startMemberOf', 'Western Kentucky Hilltoppers basketball', '2026-06-01']]
[['Chuck Ogbodo', 'startMemberOf', 'San-en NeoPhoenix', '2026-06-01'], ['Ameer Shamsud-Din', 'startMemberOf', 'Toyama Grouses', '2026-06-01'], ['Taylor Brown', 'endMemberOf', 'France national under-19 football team generic instance', '2026-06-01'], ['Royce Simpson', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-06-01']]
[['Brande Roderick', 'endMemberOf', 'Nevada Wolf Pack men\' s basketball', '2026-06-06'], ['Jon Torres', 'endWorksFor', 'Navy Midshipmen men\' s basketball', '2026-06-06'], ['Janavor Weatherspoon', 'endMemberOf', 'Oklahoma State Cowboys basketball', '2026-06-06'], ['Darren Freeman', 'endMemberOf', 'Northampton Saints', '2026-06-06']]
[['', 'endMemberOf', 'Massachusetts General Hospital', '2026-06-06'], ['Rasheem Sims', 'startWorksFor', 'United States men\' s national soccer team', '2026-06-06'], ['Matt Jarboe', 'startMemberOf', 'Louisiana– Monroe Warhawks men\' s basketball', '2026-06-06'], ['César Elizondo', 'startWorksFor', 'Sam Houston Bearkats men\' s basketball', '2026-06-06']]
[['Andrew Fava', 'startMemberOf', 'Oklahoma City Blue', '2026-06-06'], ['Levar Williams', 'endMemberOf', 'NJIT Highlanders men\' s basketball', '2026-06-06'], ['Travis Blackstock', 'endMemberOf', 'Olympiacos SFP ( men\' s volleyball)', '2026-06-06'], ['Johnny Juzang', 'startMemberOf', 'Soproni KC', '2026-06-09']]
[['Talmadge Bell', 'startMemberOf', 'North Carolina Central Eagles men\' s basketball', '2026-06-12'], ['Adrion Graves', 'startMemberOf', 'CB Lucentum Alicante', '2026-06-13'], ['Antoine Mayhand', 'endMemberOf', 'Miami Hurricanes men\' s basketball', '2026-06-13'], ['Cody Lewis', 'startMemberOf', 'Southern Illinois Salukis men\' s basketball', '2026-06-13']]
[['Hefeng Sun', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-06-19'], ['Gabriel Steele', 'endMemberOf', 'Florida A& M Rattlers basketball', '2026-06-20'], ['Sam Green', 'startMemberOf', 'Saint Louis Billikens men\' s basketball', '2026-06-20'], ['Centro Direzionale Centocelle', 'endMemberOf', 'Monmouth Hawks men\' s basketball', '2026-06-20']]
[['Terrance Tubbs', 'startMemberOf', 'Rain or Shine Elasto Painters', '2026-06-20'], ['Melissa McCarthy', 'endMemberOf', 'PBC Lokomotiv Kuban', '2026-06-20'], ['Daniel Panizzolo', 'startMemberOf', 'Toyotsu Fighting Eagles Nagoya', '2026-06-20'], ['James Hennessy', 'endMemberOf', 'Montana State Bobcats men\' s basketball', '2026-06-20']]
[['Adam Walker', 'endMemberOf', 'Howard Bison men\' s basketball', '2026-06-20'], ['Shawn Bowen', 'startMemberOf', 'North Carolina Central Eagles men\' s basketball', '2026-06-20'], ['Mohamed Tangara', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-06-20'], ['Simeon Marsalis', 'endMemberOf', 'Vermont Catamounts men\' s basketball', '2026-06-20']]
[['Chim Kadima', 'startMemberOf', 'Antwerp Giants', '2026-06-20'], ['Martyn Waghorn', 'endMemberOf', 'Valencia Basket', '2026-06-20'], ['Chris Fleming', 'startMemberOf', 'KU Leuven', '2026-06-20'], ['Keary Brownlee', 'startMemberOf', 'Northeastern Huskies men\' s basketball', '2026-06-22']]
[['Colin Chiverton', 'endMemberOf', 'Eastern Washington Eagles men\' s basketball', '2026-06-25'], ['Chris Ellis', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-06-25'], ['Larry Loughery', 'startMemberOf', 'UC Riverside Highlanders men\' s basketball', '2026-06-25'], ['Kelth Cameron', 'endMemberOf', 'Tulane Green Wave men\' s basketball', '2026-06-26']]
[['Andre Wilkins', 'endMemberOf', 'Louisiana– Monroe Warhawks men\' s basketball', '2026-06-27'], ['Brandon Ford', 'startMemberOf', 'Tennessee Volunteers basketball', '2026-06-28'], ['Evan White', 'startMemberOf', 'Orlando Magic', '2026-06-28'], ['Kevin Dunleavy', 'startMemberOf', 'Houston Christian Huskies men\' s basketball', '2026-06-30']]
[['Nate Hutcheson', 'startMemberOf', 'BC Andorra', '2026-06-30'], ['Rob Preston', 'endMemberOf', 'Akron Zips men\' s basketball', '2026-06-30'], ['Arnold Fripp', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-06-30'], ['Randy Brooks', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-06-30']]
[['Riley Kemmer', 'startMemberOf', 'CB Pardinyes', '2026-06-30'], ['Le U0027 Vonn Jordan', 'startMemberOf', 'Italy national football C teams', '2026-06-30'], ['Curtis Washington', 'startMemberOf', 'Technion – Israel Institute of Technology', '2026-06-30'], ['Gregoryshon Magee', 'endMemberOf', 'South Alabama Jaguars men\' s basketball', '2026-06-30']]
[['Tommy Smith ( basketball)', 'endMemberOf', 'Aqua Blue Sport', '2026-06-30'], ['A U002E J U002E Avery', 'startMemberOf', 'BC Andorra', '2026-06-30'], ['Andreas Bigum', 'startMemberOf', 'Middle Tennessee Blue Raiders men\' s basketball', '2026-07-01'], ['Devin Waddell', 'startMemberOf', 'Texas Southern Tigers basketball', '2026-07-01']]
[['Jamar Taylor', 'endMemberOf', 'Maryland Eastern Shore Hawks men\' s basketball', '2026-07-01'], ['Zimmy Nwogbo', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-07-01'], ['Patrick Dennehy', 'startMemberOf', 'BC Andorra', '2026-07-01'], ['Abdoulaye Gueye', 'endMemberOf', 'Georgia Tech Yellow Jackets men\' s basketball', '2026-07-01']]
[['Alpha Diallo ( basketball, born 1997)', 'endMemberOf', 'Karachi Kings', '2026-07-01'], ['Tom Piscina', 'startMemberOf', 'Soles de Santo Domingo Este', '2026-07-04'], ['Noah Vonleh', 'startMemberOf', 'Orlando Magic', '2026-07-04'], ['Chris Wise', 'startMemberOf', 'Xavier Musketeers men\' s basketball', '2026-07-08']]
[['Trae Anderson', 'startMemberOf', 'Veltex Shizuoka', '2026-07-11'], ['Jamir Williams', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-07-12'], ['Qa U0027 Rraan Calhoun', 'startMemberOf', 'Niigata Albirex BB', '2026-07-13'], ['Cully Payne', 'endMemberOf', 'Faculdade De Ciências Da Universidade De Lisboa', '2026-07-13']]
[['Darren Goodson', 'endMemberOf', 'Kent State Golden Flashes men\' s basketball', '2026-07-13'], ['Quinten Rollins', 'startMemberOf', 'Cincinnati Bearcats football', '2026-07-13'], ['Tommy Kuhse', 'startMemberOf', 'MKS Dąbrowa Górnicza ( basketball)', '2026-07-13'], ['Jake Boggs', 'endMemberOf', 'UNC Wilmington Seahawks men\' s basketball', '2026-07-13']]
[['Gjorgji Hristov', 'endMemberOf', 'Dynamo Kursk', '2026-07-13'], ['Ryan Hegarty', 'endMemberOf', 'San Diego Toreros men\' s basketball', '2026-07-15'], ['Brad Oleson', 'endMemberOf', 'UCAM Murcia CB', '2026-07-17'], ['Kingseley Obiekwe', 'startMemberOf', 'S. C. Lusitânia ( basketball)', '2026-07-19']]
[['George Banks ( basketball)', 'endMemberOf', 'BC Körmend', '2026-07-20'], ['Taylor Filipek', 'startMemberOf', 'KB Trepça', '2026-07-25'], ['Josipa Marković', 'endMemberOf', 'CB Breogán', '2026-07-30'], ['Oliver Wells', 'endMemberOf', 'Central Arkansas Bears basketball', '2026-07-31']]
[['Jeremy Green', 'startMemberOf', 'Riesen Ludwigsburg', '2026-07-31'], ['Jonathan Woods', 'startMemberOf', 'UB La Palma', '2026-07-31'], ['Lizanne Murphy', 'endMemberOf', 'Union Féminine Angers Basket 49', '2026-07-31'], ['R U002E J U002E Williams', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-07-31']]
[['Nate Hutcheson', 'endMemberOf', 'BC Andorra', '2026-07-31'], ['David Bell', 'endMemberOf', 'University of Oklahoma Health Sciences Center', '2026-07-31'], ['Lahat Thioune', 'startMemberOf', 'New Mexico Lobos men\' s basketball', '2026-07-31'], ['Melvin Bell', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-08-01']]
[['Matt Salley', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-08-01'], ['Marius Șuleap', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-08-01'], ['Caheem Broadus', 'startMemberOf', 'Youngstown State Penguins men\' s basketball', '2026-08-01'], ['Cheung Ka Long', 'endMemberOf', 'Eastern Washington Eagles men\' s basketball', '2026-08-01']]
[['Tommie Eddie', 'endMemberOf', 'Ole Miss Rebels men\' s basketball', '2026-08-01'], ['Octavius Flowers', 'startMemberOf', 'Apollon Patras B. C.', '2026-08-01'], ['Jeff Elorriaga', 'startMemberOf', 'Aris Leeuwarden', '2026-08-01'], ['Stephen Edwards', 'endMemberOf', 'Santa Clara Broncos men\' s basketball', '2026-08-01']]
[['Tywain McKee', 'startMemberOf', 'North Carolina Central Eagles men\' s basketball', '2026-08-01'], ['Matt Gorman', 'endMemberOf', 'Syracuse Orange men\' s basketball', '2026-08-01'], ['G U002E A U002E Hill', 'startMemberOf', 'Aris Leeuwarden', '2026-08-01'], ['Emanuel Jackson', 'endMemberOf', 'Texas Wesleyan Rams Men U0027 S Basketball', '2026-08-01']]
[['Jason Holwerda', 'startMemberOf', 'Valencia Basket', '2026-08-02'], ['Jeremy Hollimon', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-08-03'], ['Percy Green', 'endMemberOf', 'Stephen F. Austin Lumberjacks basketball', '2026-08-03'], ['Jabari Currie', 'startMemberOf', 'Miami Hurricanes men\' s basketball', '2026-08-03']]
[['Oliver Hinckson', 'endMemberOf', 'University of Malaya', '2026-08-10'], ['Kylor Kelley', 'startMemberOf', 'Montana Grizzlies basketball', '2026-08-12'], ['Dwight Burke', 'startMemberOf', 'Chicago Bulls', '2026-08-12'], ['Perry Cowan', 'endMemberOf', 'Brown Bears men\' s basketball', '2026-08-13']]
[['Joshua Currenton', 'startMemberOf', 'Toyama Grouses', '2026-08-21'], ['Keith Jones', 'startMemberOf', 'Panathinaikos B. C.', '2026-08-21'], ['Tyler Cook', 'endMemberOf', 'Iowa Hawkeyes men\' s basketball', '2026-08-21'], ['Jason Rich', 'startMemberOf', 'Golden State Warriors', '2026-08-22']]
[['Bolden Brace', 'startMemberOf', 'Riesen Ludwigsburg', '2026-08-23'], ['Eric Hicks ( basketball)', 'startMemberOf', 'Chicago Bulls', '2026-08-23'], ['Óscar Cervantes', 'endMemberOf', 'CB Granollers', '2026-08-25'], ['Paris Davis', 'startMemberOf', 'Utah Utes men\' s basketball', '2026-08-27']]
[['Jack Loofburrow', 'startMemberOf', 'USC Heidelberg', '2026-08-29'], ['Race Parsons', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-08-30'], ['Brian Gibbs', 'startMemberOf', 'Pallacanestro Lucca', '2026-08-31'], ['Keith McLeod', 'endMemberOf', 'Ulsan Hyundai Mobis Phoebus', '2026-08-31']]
[['Ruben Boumtje-Boumtje', 'endMemberOf', 'Alba Berlin', '2026-08-31'], ['Drew Paradoski', 'startMemberOf', 'Morehead State Eagles men\' s basketball', '2026-08-31'], ['Orlando Griego', 'endMemberOf', 'Southern Utah Thunderbirds men\' s basketball', '2026-08-31'], ['Shannon Scott', 'startMemberOf', 'Rain or Shine Elasto Painters', '2026-08-31']]
[['Ignacio Torres', 'endWorksFor', 'BC Andorra', '2026-09-01'], ['William Clay', 'endMemberOf', 'Mississippi Valley State Delta Devils basketball', '2026-09-01'], ['Bettina Kosel', 'endWorksFor', 'Indiana Hoosiers men\' s basketball', '2026-09-01'], ['James Mclean', 'endMemberOf', 'Harvard Crimson men\' s basketball', '2026-09-01']]
[['Ross Ferrarini', 'endMemberOf', 'Creighton Bluejays men\' s basketball', '2026-09-01'], ['Josh Martin', 'endMemberOf', 'Albany Great Danes men\' s basketball', '2026-09-01'], ['Moussa Diagne', 'startMemberOf', 'CB Breogán', '2026-09-01'], ['Justin Miller', 'startMemberOf', 'Worcester Wolves', '2026-09-01']]
[['Gerald Colds', 'endMemberOf', 'Drexel Dragons men\' s basketball', '2026-09-02'], ['Michael Brown', 'endMemberOf', 'Davidson Wildcats men\' s basketball', '2026-09-02'], ['Vas U0027 Shun Newborne', 'startMemberOf', 'Valencia Basket', '2026-09-03'], ['Hollis Hill', 'startMemberOf', 'Oregon Ducks men\' s basketball', '2026-09-03']]
[['Derrick Brown ( basketball, born 1987)', 'startMemberOf', 'CB Lucentum Alicante', '2026-09-05'], ['Dion Overstreet', 'startMemberOf', 'Maccabi Rishon LeZion ( basketball)', '2026-09-05'], ['Richard Young', 'startMemberOf', 'Niigata Albirex BB', '2026-09-06'], ['Jabari Smith', 'startMemberOf', 'CB Breogán', '2026-09-07']]
[['Johnnie Jefferson', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-09-07'], ['D U0027 Andre Williams', 'startMemberOf', 'Oral Roberts Golden Eagles men\' s basketball', '2026-09-08'], ['James Johnson ( basketball, born 1987)', 'startMemberOf', 'BC Andorra', '2026-09-08'], ['Mike Hood', 'startMemberOf', 'Aris Leeuwarden', '2026-09-08']]
[['Abdullahi Kuso', 'startMemberOf', 'Charlotte Hornets', '2026-09-09'], ['Oliver Stević', 'startMemberOf', 'CB Breogán', '2026-09-09'], ['Nic Wise', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-09-11'], ['Luke Mccrone', 'startMemberOf', 'CB Breogán', '2026-09-17']]
[['Kevin Holmes Jr U002E ', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-09-22'], ['Scott Feather', 'endMemberOf', 'Wake Forest Demon Deacons men\' s basketball', '2026-09-22'], ['Major Canady', 'endMemberOf', 'Drexel Dragons men\' s basketball', '2026-09-22'], ['Da U0027 Shawn Phillip', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-09-25']]
[['Comerlee Poole', 'endMemberOf', 'Campbell Fighting Camels men\' s basketball', '2026-09-25'], ['Sinqua Walls', 'startMemberOf', 'CB Gran Canaria', '2026-09-26'], ['Tanner Krebs', 'startMemberOf', 'MKS Dąbrowa Górnicza ( basketball)', '2026-09-27'], ['Russ Snyder', 'startMemberOf', 'Grand Canyon Antelopes men\' s basketball', '2026-09-30']]
[['Alan Williams', 'endMemberOf', 'Wake Forest Demon Deacons men\' s basketball', '2026-09-30'], ['Jordan Caruso', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-09-30'], ['Aldric Reynolds', 'startMemberOf', 'Northeastern Huskies men\' s basketball', '2026-09-30'], ['Alex Welhouse', 'startMemberOf', 'CA Saint-Étienne Loire Sud Rugby', '2026-09-30']]
