[['Clint Hill ( Secret Service)', 'endMemberOf', 'Arkansas– Pine Bluff Golden Lions men\' s basketball', '2026-01-01']]
[['Mateusz Szczepaniak ( footballer)', 'startMemberOf', 'SR Colmar', '2026-02-01']]
[['Chris Lewis', 'endMemberOf', 'German Research Foundation', '2026-02-01']]
[['Jelle Wolsink', 'startMemberOf', 'North Alabama Lions men\' s basketball', '2026-02-01']]
[['Boško Mihajlović', 'endMemberOf', 'Panachaiki F. C.', '2026-02-01']]
[['Nicole Wretham', 'endWorksFor', 'University of British Columbia', '2026-02-01']]
[['José Miguel Villaú', 'endMemberOf', 'Spain national rugby union team', '2026-02-01']]
[['Soslan Takazov', 'startMemberOf', 'Virginia Cavaliers men\' s basketball', '2026-02-01']]
[['John Vandecar', 'startMemberOf', 'German Research Foundation', '2026-02-01']]
[['Małgorzata Gotowska', 'startAcademicDegree', 'Diploma generic instance', '2026-02-01']]
[['Oisín Wall', 'startMemberOf', 'Havant & Waterlooville F. C.', '2026-02-01']]
[['John Canzano', 'endMemberOf', 'Penn Quakers men\' s basketball', '2026-02-01']]
[['Sojung Kim', 'endWorksFor', 'Texas A& M University– Commerce', '2026-02-01']]
[['Jesse Reid Iii', 'endMemberOf', 'Drexel Dragons men\' s basketball', '2026-02-01']]
[['Wei Wang', 'endWorksFor', 'University of Oslo', '2026-02-01']]
[['Ying Zhou', 'endWorksFor', 'Guizhou University', '2026-02-01']]
[['Jiao Zhang', 'endWorksFor', 'Tsinghua University', '2026-02-01']]
[['Amit Agrawal', 'endWorksFor', 'University of Nottingham', '2026-02-01']]
[['Deonte Hearns', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-02-01']]
[['Paul Lyons', 'endMemberOf', 'Boston College Eagles men\' s basketball', '2026-02-01']]
[['Stefan de Bod', 'endMemberOf', 'King Juan Carlos University', '2026-02-01']]
[['Rocío Tarjuelo', 'endWorksFor', 'Astana Qazaqstan Team', '2026-02-01']]
[['Dorota Kmiec', 'endWorksFor', 'King\' s College London', '2026-02-01']]
[['Ignacio de León', 'endMemberOf', 'North York Astros', '2026-02-01']]
[['Renny Ribera', 'endMemberOf', 'Club Real Potosí', '2026-02-01']]
[['Evgeni Ignatov ( footballer)', 'endMemberOf', 'FC Sportist Svoge', '2026-02-01']]
[['Steve Irwin', 'startMemberOf', 'German Research Foundation', '2026-02-01']]
[['William J D Iles', 'endWorksFor', 'Simon Fraser University', '2026-02-01']]
[['Didier Sossa', 'startMemberOf', 'East Tennessee State Buccaneers men\' s basketball', '2026-02-01']]
[['Bill Roulston', 'startMemberOf', 'Hampshire County Cricket Club', '2026-02-01']]
[['Amric Fields', 'endMemberOf', 'TCU Horned Frogs men\' s basketball', '2026-02-01']]
[['Helen Byrne', 'endWorksFor', 'University of Nottingham', '2026-02-01']]
[['Sarfo Gyamfi', 'endMemberOf', 'Ghana national football team generic instance', '2026-02-01']]
[['Tim Kerr', 'startMemberOf', 'Sudan national football team', '2026-02-01']]
[['Kolding Municipality U0028 1970-2006 U0029 ', 'endMemberOf', 'CFR Cluj', '2026-02-01']]
[['Mirka Lares', 'endMemberOf', 'German Research Foundation', '2026-02-01']]
[['Mikhail Zubkov', 'startMemberOf', 'Team Wiggins Le Col', '2026-02-01']]
[['Nicolo Navarin', 'endWorksFor', 'University of Nottingham', '2026-02-01']]
[['Gennady Karnovich-Valua', 'endMemberOf', 'Grave Digger ( band)', '2026-02-01']]
[['Farhad Bin Ashraf', 'endMemberOf', 'R. E. Virton', '2026-02-01']]
[['Felix Theska', 'endWorksFor', 'University of New South Wales', '2026-02-01']]
[['Anton Ognyanov', 'endMemberOf', 'PFC Beroe Stara Zagora', '2026-02-01']]
[['Juwan Morgan', 'endMemberOf', 'Indiana Hoosiers men\' s basketball', '2026-02-01']]
[['Gurpreet Singh ( footballer)', 'endMemberOf', 'Churchill Brothers FC Goa', '2026-02-01']]
[['Joanna C Robson', 'endMemberOf', '1. FK Drnovice', '2026-02-01']]
[['Geological Society of London', 'endMemberOf', 'International Association of Scientific, Technical, and Medical Publishers', '2026-02-01']]
[['Jiqiang Zhang', 'endWorksFor', 'Army Medical University', '2026-02-01']]
[['Ernst Otto Fischer', 'startMemberOf', 'C. D. Guadalajara', '2026-02-01']]
[['Trevor Fahey', 'startMemberOf', 'Everton de Viña del Mar', '2026-02-01']]
[['Steve Yellen', 'endMemberOf', 'UTEP Miners men\' s basketball', '2026-02-01']]
[['Sylvestre Maurice', 'startMemberOf', 'USK Praha ( women\' s basketball)', '2026-02-01']]
[['Mirsada Causevic', 'endWorksFor', 'King\' s College London', '2026-02-01']]
[['Patricia Miloslavich', 'endWorksFor', 'University of Tasmania', '2026-02-01']]
[['David Gbemie', 'endMemberOf', 'Leigh Genesis F. C.', '2026-02-02']]
[['Mojca Strazisar', 'endWorksFor', 'University of Ljubljana', '2026-02-02']]
[['Albert John Bromeo', 'endWorksFor', 'Philippine General Hospital', '2026-02-02']]
[['Farid Froghi', 'endWorksFor', 'Royal London Hospital', '2026-02-03']]
[['Elisea U0027 Bebet U0027 Gillera Gozun', 'endWorksFor', 'Department of Environment and Natural Resources', '2026-02-03']]
[['Ron Giffen', 'endMemberOf', 'North Texas Mean Green men\' s basketball', '2026-02-04']]
[['Willem de Graaf', 'endMemberOf', 'Wollongong Wolves FC', '2026-02-04']]
[['Marcus Banta', 'endMemberOf', 'Penn State Nittany Lions basketball', '2026-02-06']]
[['Steven Barnes', 'endMemberOf', 'Troy Trojans men\' s basketball', '2026-02-07']]
[['Isabelle Yacoubou', 'endMemberOf', 'WBC Sparta& K', '2026-02-08']]
[['Richard Mikulski', 'endWorksFor', 'Cornwall Council', '2026-02-08']]
[['Joseph W Briggs', 'endWorksFor', 'National Cancer Institute', '2026-02-08']]
[['Zuzana Tomčíková', 'endMemberOf', 'Linköping HC ( women)', '2026-02-09']]
[['Butch Zatezalo', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-02-09']]
[['Tajuan Porter', 'endMemberOf', 'Oregon Ducks men\' s basketball', '2026-02-10']]
[['Darryl Roberts', 'endMemberOf', 'Coppin State Eagles men\' s basketball', '2026-02-11']]
[['Freddy Bourgeois', 'endMemberOf', 'Nîmes Olympique', '2026-02-11']]
[['Ricardo Castro Valenzuela', 'endMemberOf', 'Atlético Zacatepec', '2026-02-12']]
[['Xiaohu Huang', 'startMemberOf', 'German Research Foundation', '2026-02-12']]
[['Victor Boștinaru', 'endMemberOf', 'Democratic Party ( Romania)', '2026-02-12']]
[['Xiaocong Tian', 'endWorksFor', 'Nanyang Technological University', '2026-02-14']]
[['Mikkel Rask', 'endMemberOf', 'Viborg FF', '2026-02-14']]
[['Andrew Hurry', 'endMemberOf', 'United Arab Emirates national cricket team', '2026-02-14']]
[['Bernard Royster', 'endMemberOf', 'Old Dominion Monarchs men\' s basketball', '2026-02-15']]
[['Kevin Mcpeek', 'endMemberOf', 'Rider Broncs men\' s basketball', '2026-02-15']]
[['Damian Roßbach', 'endMemberOf', '1. FSV Mainz 05', '2026-02-15']]
[['Bernd Wehmeyer', 'endMemberOf', 'Hamburger SV', '2026-02-16']]
[['Gionata Verzura', 'endMemberOf', 'Ubon Umt United F U002E C U002E ', '2026-02-17']]
[['Waisea Luveniyali', 'endMemberOf', 'Harlequin F. C.', '2026-02-18']]
[['Lebogang Manyama', 'endMemberOf', 'Cape Town Spurs F. C.', '2026-02-18']]
[['Cátia Santos', 'endWorksFor', 'University of Coimbra', '2026-02-19']]
[['Soro', 'startMemberOf', 'King Abdullah University of Science and Technology', '2026-02-22']]
[['John O\' Driscoll ( rugby union)', 'endMemberOf', 'Ireland national rugby union team', '2026-02-22']]
[['Robert Mccoy', 'startMemberOf', 'German Research Foundation', '2026-02-22']]
[['Kenny Mcclary', 'endMemberOf', 'Florida Gators men\' s basketball', '2026-02-22']]
[['Alfonso Vargas-Macías', 'endWorksFor', 'Universidad Isabel I', '2026-02-22']]
[['Roy Pleasants', 'startMemberOf', 'German Research Foundation', '2026-02-22']]
[['Ronen Harazi', 'endMemberOf', 'Maccabi Haifa F. C.', '2026-02-23']]
[['Slavko Blagojević', 'startMemberOf', 'Green Bay Packers', '2026-02-23']]
[['Alopua Petoa', 'endMemberOf', 'Waitakere City FC', '2026-02-23']]
[['Wojciech Pszczolarski', 'endMemberOf', 'Santic– Wibatech', '2026-02-23']]
[['Royal Edwards', 'endMemberOf', 'Weber State Wildcats men\' s basketball', '2026-02-24']]
[['Romeo Langford', 'endMemberOf', 'Dragsfjärd', '2026-02-24']]
[['Paul Wood ( footballer)', 'endMemberOf', 'Sheffield United F. C.', '2026-02-24']]
[['', 'endMemberOf', 'University of British Columbia', '2026-02-24']]
[['Derley ( footballer, born 1987)', 'endWorksFor', 'UConn Huskies men\' s basketball', '2026-02-24']]
[['Sean Sullivan', 'endMemberOf', 'Toyota– United', '2026-02-24']]
[['Jessica L Bell', 'endWorksFor', 'Martin Luther University of Halle-Wittenberg', '2026-02-24']]
[['Charles Fontenette', 'endMemberOf', 'Sam Houston Bearkats men\' s basketball', '2026-02-24']]
[['Rico Badenschier', 'startMemberOf', 'Idaho State Bengals men\' s basketball', '2026-02-24']]
[['Joyce Kania', 'endMemberOf', 'Toulouse Fontaines Club', '2026-02-25']]
[['Guilherme de Paula', 'startMemberOf', 'Maccabi Tel Aviv F. C.', '2026-02-25']]
[['Enmanuel Quintanilla', 'endMemberOf', 'Alianza F. C.', '2026-02-25']]
[['Brian Smith ( ice hockey, born 1937)', 'endMemberOf', 'Detroit Red Wings', '2026-02-25']]
[['Friedrich-Wilhelm Kiel', 'endMemberOf', 'National Board Of The Fdp', '2026-02-27']]
[['Luis Pagan', 'endMemberOf', 'Saint Francis Red Flash men\' s basketball', '2026-02-28']]
[['Janet Gross', 'endMemberOf', 'Administrative Department of Science, Technology and Innovation', '2026-02-28']]
[['Rodell Guest', 'endWorksFor', 'Portugal national football team generic instance', '2026-02-28']]
[['Danial Qadir', 'endMemberOf', 'NK Beltinci', '2026-02-28']]
[['Maedeh Mansoubi', 'endWorksFor', 'University of Worcester', '2026-02-28']]
[['Ping Li', 'startMemberOf', 'Universidad De Las Américas', '2026-02-28']]
[['André Mollet ( cyclist)', 'startMemberOf', 'Bologna F. C. 1909', '2026-02-28']]
[['', 'endMemberOf', 'Av Villas', '2026-02-28']]
[['Alfonso Delanuez', 'endMemberOf', 'San Jose State Spartans men\' s basketball', '2026-02-28']]
[['Mohanraj Sadasivam', 'startMemberOf', 'German Research Foundation', '2026-02-28']]
[['Karl-Michael Wohlfahrt', 'endMemberOf', 'Hertha BSC', '2026-02-28']]
[['Zikri Akbar', 'endMemberOf', 'German Research Foundation', '2026-02-28']]
[['Héctor Carabalí', 'startMemberOf', 'Detroit Cougars ( soccer)', '2026-02-28']]
[['Anupama Kumar', 'endWorksFor', 'National Environmental Engineering Research Institute', '2026-02-28']]
[['R. Carlyle Buley', 'startMemberOf', 'Gençlerbirliği S. K.', '2026-02-28']]
[['Andy Martin', 'endMemberOf', 'Montana Grizzlies basketball', '2026-02-28']]
[['Paul Blau', 'startMemberOf', 'England national football team', '2026-02-28']]
[['Eugen Stamate', 'startMemberOf', 'German Research Foundation', '2026-02-28']]
[['Nildeson', 'endMemberOf', 'New Mexico State Aggies men\' s basketball', '2026-02-28']]
[['Zahid Ali', 'endMemberOf', 'Siófok KC', '2026-02-28']]
[['William Pinkham', 'endMemberOf', 'C. D. Atlético Marte', '2026-02-28']]
[['Emily Carol Mckinley', 'endWorksFor', 'University of Alabama at Birmingham', '2026-02-28']]
[['Michael Parker', 'endWorksFor', 'University of Essex', '2026-02-28']]
[['Kevin Everhart', 'endMemberOf', 'VMI Keydets basketball', '2026-02-28']]
[['Carmelo Miceli', 'endMemberOf', 'Auburn Tigers men\' s basketball', '2026-03-01']]
[['Hélder Barbosa', 'startMemberOf', 'Yokohama Canon Eagles', '2026-03-01']]
[['Raymond Mommens', 'endMemberOf', 'R. Charleroi S. C.', '2026-03-01']]
[['Io Murota', 'startMemberOf', 'Plymouth Argyle F. C.', '2026-03-01']]
[['Silas E Busch', 'endMemberOf', 'Bmc Mountainbike Racing Team', '2026-03-01']]
[['Republic Of Seychelles', 'endMemberOf', 'Lithuania', '2026-03-01']]
[['Thierry Pister', 'endMemberOf', 'Diana Express', '2026-03-01']]
[['Tomas Bruha', 'endMemberOf', 'Istituto Zooprofilattico Sperimentale Della Sicilia Adelmo Mirri', '2026-03-01']]
[['Aaron Jenkins', 'startMemberOf', 'SC Toulon', '2026-03-01']]
[['Roscoe B U002E White', 'startMemberOf', 'The Angiogenesis Foundation', '2026-03-01']]
[['Michelle Hutnik', 'endWorksFor', 'Ángeles de Puebla', '2026-03-01']]
[['Jihong Liu', 'endWorksFor', 'Centers for Disease Control and Prevention', '2026-03-01']]
[['Tyler Tafoya', 'endMemberOf', 'UTEP Miners men\' s basketball', '2026-03-01']]
[['Miles Jackson-Cartwright', 'endMemberOf', 'Penn Quakers men\' s basketball', '2026-03-01']]
[['Rajeev Choudhary', 'endWorksFor', 'Banaras Hindu University', '2026-03-01']]
[['Andrzej Kidyba', 'startAcademicDegree', 'Diploma generic instance', '2026-03-01']]
[['Aldo Poy', 'endMemberOf', 'Kozani F. C.', '2026-03-01']]
[['Howard Arndt', 'endMemberOf', 'Kansas Jayhawks men\' s basketball', '2026-03-01']]
[['Joe Parker', 'endWorksFor', 'Széchenyi István University', '2026-03-01']]
[['Diego ( footballer, born 1982)', 'endMemberOf', 'Ceará Sporting Club', '2026-03-01']]
[['José Luis Torroba Llorente', 'startWorksFor', 'Southeastern Louisiana University', '2026-03-01']]
[['Saleh Abdulhameed', 'endMemberOf', 'Al Raed FC', '2026-03-01']]
[['Piklu Roy Chowdhury', 'startMemberOf', 'Domo– Farm Frites', '2026-03-01']]
[['Diptarup Nandi', 'endWorksFor', 'Indian Institute of Science', '2026-03-01']]
[['Qiuqin Zhou', 'startMemberOf', 'Dragsfjärd', '2026-03-01']]
[['Unai García', 'endMemberOf', 'CA Osasuna B', '2026-03-01']]
[['Jack Brown', 'endWorksFor', 'German Research Foundation', '2026-03-01']]
[['Beyram Trifi', 'endWorksFor', 'Faculty Of Sciences Of Tunis', '2026-03-01']]
[['Remy Boswell', 'endMemberOf', 'Houston Christian Huskies men\' s basketball', '2026-03-01']]
[['Mehmet Gürkan Öztürk', 'endMemberOf', 'Kartal S. K.', '2026-03-01']]
[['Eleanor Gillette', 'endWorksFor', 'National Institute of Standards and Technology', '2026-03-01']]
[['Fabio Franchini', 'endWorksFor', 'International School for Advanced Studies', '2026-03-01']]
[['Maksim Sergeyev', 'endMemberOf', 'FC Nosta Novotroitsk', '2026-03-01']]
[['Dan Crosby', 'endMemberOf', 'Northern Iowa Panthers men\' s basketball', '2026-03-01']]
[['Jason Neal', 'endMemberOf', 'North Texas Mean Green men\' s basketball', '2026-03-01']]
[['Aridane G Gonzalez', 'endWorksFor', 'Centre National De La Recherche Scientifique Orleans', '2026-03-01']]
[['Kirk Olich', 'startMemberOf', 'FC Slavia Mozyr', '2026-03-01']]
[['John Bailey', 'endMemberOf', 'Navy Midshipmen men\' s basketball', '2026-03-01']]
[['Kunfu Ouyang', 'startMemberOf', 'NK Slaven Belupo', '2026-03-01']]
[['Karl Clebak', 'endWorksFor', 'University of Virginia', '2026-03-01']]
[['Ian Schuback', 'endMemberOf', 'Wellcome Sanger Institute', '2026-03-01']]
[['Anil Biswas ( composer)', 'endWorksFor', 'Melbourne City FC', '2026-03-01']]
[['Gao Wang', 'endWorksFor', 'Beijing Institute of Genomics', '2026-03-01']]
[['Jun Yu', 'endWorksFor', 'TU Dresden', '2026-03-01']]
[['Peter F U002E Brussard', 'startMemberOf', 'German Research Foundation', '2026-03-01']]
[['Bogdan Mihaila', 'endWorksFor', 'Los Alamos National Laboratory', '2026-03-01']]
[['Paul De Wet', 'endMemberOf', 'Niagara Purple Eagles men\' s basketball', '2026-03-01']]
[['Carl Neumann Degler', 'endWorksFor', 'Vassar College', '2026-03-01']]
[['Kim O Learned', 'endWorksFor', 'University of Pennsylvania', '2026-03-01']]
[['Marjan Unger', 'endWorksFor', 'Sandberg Institute', '2026-03-01']]
[['Piotr Sunderland', 'endWorksFor', 'Nencki Institute of Experimental Biology of the Polish Academy of Sciences', '2026-03-01']]
[['Sun Woo Kim', 'endMemberOf', 'German Research Foundation', '2026-03-01']]
[['Riccardo Lucca', 'endMemberOf', 'Gazprom– RusVelo', '2026-03-01']]
[['Ghayas C Issa', 'endWorksFor', 'Mount Sinai Beth Israel', '2026-03-01']]
[['Jan Van Steenberghe', 'startMemberOf', 'German Research Foundation', '2026-03-01']]
[['Jeff Zern', 'endMemberOf', 'Dayton Flyers men\' s basketball', '2026-03-01']]
[['Lau Meng Meng', 'endMemberOf', 'Geylang International FC', '2026-03-01']]
[['Yuxin Chen', 'endWorksFor', 'Sun Yat-sen University', '2026-03-01']]
[['Víctor Hugo Ávalos', 'endMemberOf', 'Santiago Wanderers', '2026-03-01']]
[['Samir Bertin d\' Avesnes', 'endMemberOf', 'Columbia Lions men\' s basketball', '2026-03-01']]
[['Dylan Cronin', 'endMemberOf', 'FK Veternik', '2026-03-01']]
[['Ken Thompson', 'endMemberOf', 'German Research Foundation', '2026-03-01']]
[['Nabanita Mukherjee', 'startMemberOf', 'Deportivo Alavés', '2026-03-01']]
[['Gene Dyker', 'startMemberOf', 'Food and Agriculture Organization', '2026-03-01']]
[['Rodney Hamilton', 'endMemberOf', 'Georgia State Panthers men\' s basketball', '2026-03-01']]
[[' Dunson', 'endMemberOf', 'Drake Bulldogs men\' s basketball', '2026-03-01']]
[['Ralph P U002E Maguire', 'endWorksFor', 'University of Groningen', '2026-03-01']]
[['Jade I Fostvedt', 'endWorksFor', 'University of South Dakota', '2026-03-01']]
[['Jaime Moreno ( footballer, born 1995)', 'endMemberOf', 'El Palo FC', '2026-03-01']]
[['Mátyás Herein', 'endWorksFor', 'University of Hamburg', '2026-03-01']]
[['Laura Silveira Moriyama', 'endWorksFor', 'Universidade Nove De Julho', '2026-03-01']]
[['Samuel N Pagliarini', 'endWorksFor', 'Carnegie Mellon University', '2026-03-01']]
[['Riku Hakulinen', 'endWorksFor', 'Åbo Akademi University', '2026-03-01']]
[['Kim Jong-song', 'endMemberOf', 'Júbilo Iwata', '2026-03-01']]
[['Jamie Burns', 'startMemberOf', 'German Research Foundation', '2026-03-01']]
[['André Gohr', 'endMemberOf', 'Funvic u002F Soul Brasil Pro Cycling', '2026-03-01']]
[['Macarena Pavez', 'endMemberOf', 'FC Twente ( women)', '2026-03-01']]
[['Joe Mccray', 'startMemberOf', 'Pakhtakor Tashkent FK', '2026-03-01']]
[['Dorota Zięba-Przybylska', 'startMemberOf', 'Brazil national under-23 football team generic instance', '2026-03-01']]
[['Kurt Peter C U002E Vollhardt', 'startMemberOf', 'Central Drug Research Institute', '2026-03-01']]
[['Gottfried Ungerboeck', 'endWorksFor', 'German Research Foundation', '2026-03-01']]
[['Darrick Ervin', 'endMemberOf', 'German Research Foundation', '2026-03-01']]
[['Anne-Sophie Alary', 'endMemberOf', 'University of Stavanger', '2026-03-01']]
[['Georgi Chilikov', 'endWorksFor', 'FC Aarau', '2026-03-01']]
[['Christian Labarbe', 'endMemberOf', 'University of Wisconsin– Madison', '2026-03-01']]
[['Kerry S U002E Mcdonald', 'endWorksFor', 'Royal Antwerp F. C.', '2026-03-01']]
[['Jernej Turnšek', 'endWorksFor', 'J. Craig Venter Institute', '2026-03-01']]
[['Steve Adams ( footballer, born 1980)', 'startMemberOf', 'Arka Gdynia', '2026-03-01']]
[['Bob Parker', 'endMemberOf', 'Warwickshire County Cricket Club', '2026-03-01']]
[['Yann Kitala', 'startMemberOf', 'Calcio Foggia 1920', '2026-03-01']]
[['Erin R U002E Hotchkiss', 'startMemberOf', 'U. S. D. Città di Fasano', '2026-03-01']]
[['Andre Young', 'endMemberOf', 'Texas Southern Tigers basketball', '2026-03-01']]
[['Maurizio Bellet', 'endMemberOf', 'Splendor ( cycling team)', '2026-03-01']]
[['Steve Davidson', 'startMemberOf', 'Dempo SC', '2026-03-01']]
[['Seppe Verschuere', 'endMemberOf', 'Vl Technics-Experza-Abutriek', '2026-03-01']]
[['Xin Liu', 'endWorksFor', 'FK Borac Čačak', '2026-03-01']]
[['Ryan Auger', 'startWorksFor', 'Quimper Kerfeunteun F. C.', '2026-03-01']]
[['Thomaz Farkas', 'endWorksFor', 'School of Communications and Arts, University of São Paulo', '2026-03-01']]
[['William Smith ( basketball, born 1949)', 'endMemberOf', 'Portland Trail Blazers', '2026-03-01']]
[['Jena Steinle', 'startMemberOf', 'FC Vityaz Krymsk', '2026-03-01']]
[['Tyler Rowe', 'endMemberOf', 'Central Connecticut Blue Devils men\' s basketball', '2026-03-01']]
[['Martin Persson', 'endWorksFor', 'Cea Grenoble', '2026-03-01']]
[['Wout Van Blijderveen', 'endMemberOf', 'FC Eindhoven', '2026-03-01']]
[['Dwaynius Harris', 'endWorksFor', 'Alabama Crimson Tide men\' s basketball', '2026-03-01']]
[['Dimitar Dimov ( footballer)', 'startMemberOf', 'Global Young Academy', '2026-03-01']]
[['Ozren Nedoklan', 'endMemberOf', 'AC Bellinzona', '2026-03-01']]
[['Nam Ki-Hyung', 'endMemberOf', 'FC Seoul', '2026-03-02']]
[['Josh Gentry', 'endMemberOf', 'Cal State Fullerton Titans men\' s basketball', '2026-03-02']]
[['Marina Granovskaia', 'endWorksFor', 'Gazprom Neft', '2026-03-02']]
[['Maria De F C Matos', 'endMemberOf', 'German Research Foundation', '2026-03-03']]
[['Nikos Nicolaou ( footballer, born 1973)', 'endMemberOf', 'Anorthosis Famagusta F. C.', '2026-03-03']]
