[['Boyd van der Vuurst de Vries', 'endMemberOf', 'AB Castelló', '2026-01-01'], ['Kimberly Drewniok', 'endMemberOf', 'ASPTT Mulhouse', '2026-01-01'], ['Dragan Zeković', 'endMemberOf', 'Lions de Genève', '2026-01-01'], ['Michelle Bartsch-Hackley', 'endMemberOf', 'VakıfBank S. K.', '2026-01-01']]
[['Hjörtur Hjörleifsson', 'endMemberOf', 'Oehl', '2026-01-01'], ['Gabe Serbian', 'endMemberOf', 'The Locust', '2026-01-01'], ['Vitaa', 'endMemberOf', 'Vitaa U0026 Slimane', '2026-01-01'], ['Nik Roos', 'endMemberOf', 'Noisia', '2026-01-01']]
[['Hana Horká', 'endMemberOf', 'Asonance', '2026-01-16'], ['Taylor Hawkins', 'endMemberOf', 'Taylor Hawkins and the Coattail Riders', '2026-03-25'], ['Guillem Boltó Grande', 'endMemberOf', 'Doctor Prats', '2026-04-01'], ['Keno', 'endMemberOf', 'Moop Mama', '2026-08-27']]
[['Charles Puech', 'endMemberOf', 'Académie De Nîmes', '2026-01-01'], ['Thomas Jürgensen', 'endWorksFor', 'European Economic and Trade Office', '2026-01-01'], ['Raúl Zaffaroni', 'endMemberOf', 'Inter-American Court of Human Rights', '2026-01-01'], ['John Cranley', 'endWorksFor', 'City Of Cincinnati', '2026-01-04']]
[['Pasieka', 'endLocation', 'Pryharadny Sieĺsaviet', '2026-06-30'], ['Dubovy Loh', 'endLocation', 'Viesialoŭski Sieĺsaviet', '2026-06-30'], ['Damanaŭski Sieĺsaviet', 'endLocation', 'Ivatsevichy District', '2026-08-24'], ['Padstarynski Sieĺsaviet', 'endLocation', 'Ivatsevichy District', '2026-08-24']]
[['Pakroŭski', 'endLocation', '', '2026-10-21'], ['Vierchniealbianski Sieĺsaviet', 'endLocation', 'Zhlobin District', '2026-12-14']]
[['Royal Scientific Society', 'startMemberOf', 'International Science Council', '2026-01-01'], ['Cameroon Academy Of Sciences', 'startMemberOf', 'International Science Council', '2026-01-01'], ['Academy of Science of South Africa', 'startMemberOf', 'InterAcademy Partnership', '2026-01-01'], ['Latin American Council of Social Sciences', 'startMemberOf', 'International Science Council', '2026-01-01']]
[['Malagasy Academy', 'startMemberOf', 'InterAcademy Partnership', '2026-01-01'], ['Buenos Aires National Academy of Medicine', 'startMemberOf', 'InterAcademy Partnership', '2026-01-01'], ['National Academy Of Exact U002C Physical And Natural Sciences Of Peru', 'startMemberOf', 'International Science Council', '2026-01-01'], ['Academy of Sciences of Uzbekistan', 'startMemberOf', 'Association Of Academies And Societies Of Sciences In Asia', '2026-01-01']]
[['Denise Radó', 'startAward', 'Meritorius Artist Of Hungary generic instance', '2026-01-01'], ['Jack Schlossberg', 'startAcademicDegree', 'Juris Doctor generic instance', '2026-02-01'], ['Jack Schlossberg', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-02-01'], ['Vera Paliakova-Makei', 'startAward', 'Merited Artist Of The Republic Of Belarus generic instance', '2026-02-25']]
[['Stuart Tooley', 'endWorksFor', 'Queensland University of Technology', '2026-03-01'], ['Brigid Heywood', 'endWorksFor', 'University of New England ( Australia)', '2026-08-01'], ['Tohid Sardarmehni', 'endWorksFor', 'University of Texas Rio Grande Valley', '2026-08-01'], ['Sol Neely', 'endWorksFor', 'Heritage University', '2026-10-16']]
[['Alexander Pavlinov', 'endWorksFor', 'Institute Of Continuous Media Mechanics', '2026-01-01'], ['René Verreault', 'endWorksFor', 'Université du Québec à Chicoutimi', '2026-01-01'], ['Sergey D U002E Mandrykin', 'endWorksFor', 'Institute Of Continuous Media Mechanics', '2026-01-01'], ['Irina Mizeva', 'startAcademicDegree', 'Doctor Of Sciences In Physics And Mathematics generic instance', '2026-10-12']]
[['Prabhav Gangadhar Morje', 'endWorksFor', 'Leidos', '2026-01-01'], ['Jean-Luc Maillard', 'endWorksFor', 'Écomusée De La Bintinais', '2026-01-01'], ['Marcus Ferreira', 'endMemberOf', 'Unidos do Viradouro', '2026-01-01'], ['Naoki Ito', 'endWorksFor', 'Embassy of Japan, Dhaka', '2026-01-01']]
[['Piotr Świtalski', 'endWorksFor', 'Ministry of Foreign Affairs ( Poland)', '2026-01-01'], ['Marcus Paulo', 'startMemberOf', 'Unidos De Bangu', '2026-01-01'], ['Jolanta Róża Kozłowska', 'endWorksFor', 'Ministry of Foreign Affairs ( Poland)', '2026-01-01'], ['Róbson Goulart', 'startMemberOf', 'Flor Da Mina Do Andaraí', '2026-01-01']]
[['Collin Cornell', 'endWorksFor', 'Sewanee: The University of the South', '2026-01-01'], ['', 'endWorksFor', 'Maksim Tank Belarusian State Pedagogical University', '2026-01-01'], ['Anna Tüskés', 'startAcademicDegree', 'Habilitation generic instance', '2026-01-01'], ['Fabian Hüttig', 'startAcademicDegree', 'Master\' s degree generic instance', '2026-01-01']]
[['Andrew Mcpherson', 'endWorksFor', 'Queen Mary University of London', '2026-01-01'], ['Oleh Amosov', 'endWorksFor', 'Charru Nahu', '2026-01-01'], ['Anaheed Al-Hardan', 'endWorksFor', 'American University of Beirut', '2026-01-01'], ['Ramez Elmasri', 'endWorksFor', 'University of Texas at Arlington', '2026-01-01']]
[['Randall Anthony Smith', 'endWorksFor', 'Muhlenberg College', '2026-01-01'], ['Julio Baumgarten', 'endWorksFor', 'State University of Santa Cruz', '2026-01-01'], ['James Owen Ryan', 'endWorksFor', 'Carleton College', '2026-01-01'], ['Corrado Carta', 'endWorksFor', 'TU Dresden', '2026-01-01']]
[['Antoni Escarré Esteve', 'endMemberOf', 'Socialist Party of the Valencian Country', '2026-01-01'], ['Sergei Guriev', 'startMemberOf', 'Institut Universitaire de France', '2026-01-01'], ['Tonia Sutherland', 'endWorksFor', 'University of Hawaiʻi at Mānoa', '2026-01-01'], ['Alberto Barbieri ( academic)', 'endWorksFor', 'University of Buenos Aires', '2026-01-01']]
[['Judith De Jong', 'endWorksFor', 'Maastricht University', '2026-01-01'], ['John A. Agnew', 'startMemberOf', 'American Academy of Arts and Sciences', '2026-01-01'], ['Magdalena Koch', 'startAcademicDegree', 'Scientific Professorship Degree generic instance', '2026-01-04'], ['Marc De Cacqueray-Valmenier', 'endMemberOf', 'Zouaves Paris', '2026-01-05']]
[['Ial Slurink', 'endWorksFor', 'Tilburg University', '2026-01-06'], ['Johan Bjureberg', 'endWorksFor', 'Stanford University', '2026-01-06'], ['Daniel Hernández', 'endWorksFor', 'Aalborg University', '2026-01-14'], ['Dan Liu', 'endWorksFor', 'Los Alamos National Laboratory', '2026-01-14']]
[['Chiara Bacchella', 'endWorksFor', 'University of Pavia', '2026-01-31'], ['Bernhard Krabina', 'endWorksFor', 'Kdz - Centre For Public Administration Research', '2026-01-31'], ['James B U002E P U002E Lim', 'endWorksFor', 'University of Auckland', '2026-01-31'], ['Giovanni Andrea Vitale', 'endWorksFor', 'Stazione Zoologica Anton Dohrn', '2026-01-31']]
[['Catalina Vargas-Acevedo', 'endWorksFor', 'Fundación Santa Fe De Bogotá', '2026-01-31'], ['D T Ta', 'endWorksFor', 'University of Wollongong', '2026-01-31'], ['Jia Wang', 'endWorksFor', 'Tsinghua University', '2026-01-31'], ['Biao Chen', 'endWorksFor', 'Tsinghua-Berkeley Shenzhen Institute', '2026-01-31']]
[['Xue-Quan Zhou', 'endWorksFor', 'Mario Negri Institute for Pharmacological Research', '2026-01-31'], ['Leonardo Pinto', 'endWorksFor', 'Faculdade de Medicina de Ribeirão Preto', '2026-01-31'], ['Sangsu Bae', 'endWorksFor', 'Hanyang University', '2026-02-01'], ['Shotaro Yamasaki', 'endWorksFor', 'Hebrew University of Jerusalem', '2026-02-01']]
[['Valentin Reungoat', 'endWorksFor', 'AgroParisTech', '2026-02-01'], ['Erika Castellanos', 'endWorksFor', 'GATE ( organization)', '2026-02-01'], ['Daniel Gibert', 'endWorksFor', 'University of Lleida', '2026-02-01'], ['Carolin Röding', 'endWorksFor', 'University of Tübingen', '2026-02-01']]
[['Kévin Moreau', 'endWorksFor', 'University of Gothenburg', '2026-02-01'], ['Farzin Sahebjam', 'endWorksFor', 'Massey University', '2026-02-01'], ['Zhen Zhou', 'endWorksFor', 'Menzies Institute for Medical Research', '2026-02-01'], ['Eloise Williams', 'startWorksFor', 'Malaghan Institute of Medical Research', '2026-02-01']]
[['Stuart Innes', 'endWorksFor', 'King\' s College Hospital', '2026-02-02'], ['Precious N Egbuikwem', 'endWorksFor', 'University of Surrey', '2026-02-08'], ['Pablo Guzmán', 'endWorksFor', 'Griffith University Griffith Sciences', '2026-02-11'], ['Sebastian Schuster', 'endWorksFor', 'Faculty of Mathematics and Physics, Charles University', '2026-02-14']]
[['Yonas Yimam', 'endWorksFor', 'Tehran University of Medical Sciences', '2026-02-19'], ['Klaus Boehnke', 'endWorksFor', 'Higher School of Economics', '2026-02-24'], ['Guillaume Larivière-Gauthier', 'endWorksFor', 'Conservatoire national des arts et métiers', '2026-02-28'], ['Mahmoud Ahmed', 'endWorksFor', 'Gyeongsang National University', '2026-02-28']]
[['Alma N Rodríguez-Alcocer', 'endWorksFor', 'The American British Cowdray Medical Center', '2026-02-28'], ['Maria Eleni Sakavitsi', 'endWorksFor', 'National and Kapodistrian University of Athens', '2026-02-28'], ['Rodolfo Ferreira Queiroz Melo', 'endWorksFor', 'Irmandade Da Santa Casa De Misericórdia De São Paulo', '2026-02-28'], ['Nicole S Arnold', 'endWorksFor', 'Morgan State University', '2026-02-28']]
[['Abu Zafar Al Munsur', 'endWorksFor', 'Incheon National University', '2026-02-28'], ['Hyeok Choi', 'endWorksFor', 'Severance Hospital', '2026-02-28'], ['Enrico Gavagnin', 'endWorksFor', 'University of Bristol', '2026-02-28'], ['Mira Kalalahti', 'endWorksFor', 'University of Turku', '2026-02-28']]
[['Mohammad Yaseen Ahmad', 'endWorksFor', 'Kyungpook National University', '2026-02-28'], ['Pushan Bag', 'endWorksFor', 'Umeå University', '2026-03-01'], ['Yuji Kumagai', 'endWorksFor', 'Hokkaido University', '2026-03-01'], ['Sanne Groeneveld', 'endWorksFor', 'University Medical Center Utrecht', '2026-03-01']]
[['T Miyano', 'endWorksFor', 'Imperial College London', '2026-03-01'], ['Denys Matheus Santana Costa Souza', 'endWorksFor', 'Federal University of Lavras', '2026-03-01'], ['Haruo Kasai', 'endWorksFor', 'University of Tokyo', '2026-03-01'], ['Arvid Pourlotfi', 'endWorksFor', 'Örebro University Hospital', '2026-03-01']]
[['Xibin Sun', 'endWorksFor', 'Binzhou Medical University', '2026-03-01'], ['Fausta Fiorillo', 'endWorksFor', 'Polytechnic University of Milan', '2026-03-01'], ['Bin Ren', 'endWorksFor', 'California Institute of Technology', '2026-03-01'], ['Shogo H Nakakita', 'endWorksFor', 'Japan Society for the Promotion of Science', '2026-03-01']]
[['Kedir Hussen Hamza', 'endWorksFor', 'Lund University', '2026-03-01'], ['Xin Huang', 'endWorksFor', 'Tongji University', '2026-03-01'], ['Rouven Schoppmeyer', 'endWorksFor', 'University of Amsterdam', '2026-03-01'], ['Pedro Levín', 'endWorksFor', 'University of Santiago, Chile', '2026-03-01']]
[['Laurie Peverini', 'endWorksFor', 'Pasteur Institute', '2026-03-28'], ['Juntai Liu', 'endWorksFor', 'University of Warwick', '2026-03-29'], ['Tingting Bao', 'endWorksFor', 'Zhejiang University', '2026-03-30'], ['Sarthak Nag', 'endWorksFor', 'Japan Society for the Promotion of Science', '2026-03-31']]
[['Manuela Leri', 'endWorksFor', 'Fondazione Umberto Veronesi', '2026-03-31'], ['Motonori Matsusaki', 'endWorksFor', 'Tohoku University', '2026-03-31'], ['Hafiz Muhammad Adeel Sharif', 'endWorksFor', 'Shenzhen University', '2026-03-31'], ['Nikolaus Doppelhammer', 'endWorksFor', 'Johannes Kepler University Linz', '2026-03-31']]
[['Daniel Woike', 'endWorksFor', 'University Medical Center Hamburg-Eppendorf', '2026-04-01'], ['Olivier Champagne', 'endWorksFor', 'French National Centre for Scientific Research', '2026-04-01'], ['Eloise Williams', 'endWorksFor', 'Malaghan Institute of Medical Research', '2026-04-01'], ['Benjamin S Sajdak', 'endWorksFor', 'Morgridge Institute for Research', '2026-04-01']]
[['Mohammadamin Edrisi', 'endWorksFor', 'Rice University', '2026-05-01'], ['Kristin Brown', 'endWorksFor', 'Agenus', '2026-05-01'], ['Cibele Rodrigues Toledo', 'endWorksFor', 'Federal University of Minas Gerais', '2026-05-01'], ['Alaa A M Ali', 'endWorksFor', 'Hamad Medical Corporation', '2026-05-02']]
[['Abu Eabrahim Siddique', 'endWorksFor', 'University at Buffalo', '2026-05-29'], ['Nadeem Ullah', 'endWorksFor', 'Karolinska Institute', '2026-05-30'], ['Aimee M Juan', 'endWorksFor', 'University of Pennsylvania', '2026-05-30'], ['Astrid Von Mentzer', 'endWorksFor', 'Chalmers University of Technology', '2026-05-31']]
[['Hamid Ali Nagi Al-Jamal', 'endWorksFor', 'Universiti Sultan Zainal Abidin', '2026-05-31'], ['Lavinia Gabara', 'endWorksFor', 'Southampton General Hospital', '2026-05-31'], ['Genesis D Renderos', 'endWorksFor', 'Stony Brook University', '2026-05-31'], ['Savita R Tapase', 'endWorksFor', 'Shivaji University', '2026-05-31']]
[['Lesly Carmona-Sarabia', 'endWorksFor', 'University of Puerto Rico, Río Piedras Campus', '2026-05-31'], ['Silvia Nelina Gonzalez', 'endWorksFor', 'National University of Tucumán', '2026-05-31'], ['Filippo Benedetti', 'endWorksFor', 'University of Natural Resources and Life Sciences, Vienna', '2026-06-01'], ['Hang Zhong', 'endWorksFor', 'Hunan University', '2026-06-01']]
[['Pete Gallagher', 'endWorksFor', 'Basketball New Zealand', '2026-06-01'], ['Bai-Tong Liu', 'endWorksFor', 'Fujian Institute Of Research On The Structure Of Matter', '2026-06-01'], ['Mallory E Carson', 'endWorksFor', 'University of Washington Medical Center', '2026-06-01'], ['Kai S Thomas', 'endWorksFor', 'Cardiff University', '2026-06-01']]
[['Sanskriti Varma', 'endWorksFor', 'NewYork-Presbyterian Hospital', '2026-06-01'], ['Erika L Kirgios', 'endWorksFor', 'University of Pennsylvania', '2026-06-01'], ['Kang Xu', 'endWorksFor', 'Zhejiang University', '2026-06-01'], ['Abigail M Nehrkorn-Bailey', 'endWorksFor', 'Colorado State University', '2026-06-01']]
[['Abel Moclán', 'endWorksFor', 'Centro Nacional De Investigación Sobre La Evolución Humana', '2026-06-09'], ['Stephen Woroniecki', 'endWorksFor', 'Linköping University', '2026-06-15'], ['Paula Banca', 'endWorksFor', 'University of Cambridge', '2026-06-18'], ['Nikolay Sosnin', 'endWorksFor', 'University of Edinburgh', '2026-06-20']]
[['K Luethcke', 'endWorksFor', 'Cornell University', '2026-06-26'], ['Alejandro Valenzuela', 'endWorksFor', 'University of the Balearic Islands', '2026-06-29'], ['Henriette Knold Rossau', 'endWorksFor', 'Odense University Hospital', '2026-06-30'], ['Amandine Cabrio', 'endWorksFor', 'University of Neuchâtel', '2026-06-30']]
[['Mustafa Erdem Arslan', 'endWorksFor', 'Albany Medical Center', '2026-06-30'], ['Husain Al-Qattan', 'endWorksFor', 'University of Texas Health Science Center at San Antonio', '2026-06-30'], ['Amber Himmler', 'endWorksFor', 'MedStar Georgetown University Hospital', '2026-06-30'], ['Charles Crabtree', 'endWorksFor', 'Stanford University', '2026-06-30']]
[['Kan Wang', 'endWorksFor', 'Shanghai Jiao Tong University School Of Medicine Affiliated Renji Hospital', '2026-06-30'], ['Michael A Loesche', 'endWorksFor', 'Massachusetts General Hospital', '2026-06-30'], ['Nauman H Malik', 'endWorksFor', 'University of Toronto', '2026-06-30'], ['Shengzhuo Liu', 'endWorksFor', 'West China Hospital', '2026-06-30']]
[['Xuyu Liu', 'endWorksFor', 'University of Sydney', '2026-06-30'], ['Lauren E Merz', 'endWorksFor', 'Brigham and Women\' s Hospital', '2026-06-30'], ['Jingjing Yao', 'endWorksFor', 'Tsinghua University', '2026-06-30'], ['Laura Fontenas', 'endWorksFor', 'University of Virginia', '2026-07-01']]
[['Jingwei Li', 'endWorksFor', 'Dalian Institute of Chemical Physics', '2026-07-01'], ['Hongchao Ji', 'endWorksFor', 'Southern University of Science and Technology', '2026-07-01'], ['Olivia D Lara', 'endWorksFor', 'NYU Langone Health', '2026-07-01'], ['Lei Li', 'endWorksFor', 'Tsinghua University', '2026-07-01']]
[['Xiaochen Liu', 'endWorksFor', 'Utrecht University', '2026-07-01'], ['Jin-Tao Ren', 'endWorksFor', 'Nankai University', '2026-07-01'], ['Guoqiang Zhao', 'endWorksFor', 'Zhejiang University', '2026-07-01'], ['Joshua R Sheak', 'endWorksFor', 'Cincinnati Children\' s Hospital Medical Center', '2026-07-01']]
[['Trey D Durdin', 'endWorksFor', 'Memorial Sloan Kettering Cancer Center', '2026-07-01'], ['Malin Olofsson', 'endWorksFor', 'Swedish University of Agricultural Sciences', '2026-07-01'], ['Anoop S Sumal', 'endWorksFor', 'University of Cambridge', '2026-07-01'], ['Wenjin Guo', 'endWorksFor', 'Jilin University', '2026-07-07']]
[['Jiachen Li', 'endWorksFor', 'Northwest University ( China)', '2026-07-24'], ['Laura Helena Caicedo Lopez', 'endWorksFor', 'Autonomous University of Queretaro', '2026-07-26'], ['Yue Shao', 'endWorksFor', 'Procter & Gamble', '2026-07-30'], ['Natasja Krog Noer', 'endWorksFor', 'Aalborg University', '2026-07-30']]
[['Hans Veerman', 'endWorksFor', 'Netherlands Cancer Institute', '2026-07-31'], ['Valdone Miseviciene', 'endWorksFor', 'Lithuanian University of Health Sciences', '2026-07-31'], ['Bernadeta M Bridgwood', 'endWorksFor', 'University Of Leicester Department Of Cardiovascular Sciences', '2026-07-31'], ['Salem Baldi', 'endWorksFor', 'Dalian Medical University', '2026-07-31']]
[['Lauren Z Waterman', 'endWorksFor', 'South London and Maudsley NHS Foundation Trust', '2026-08-01'], ['Xiaohui Zhu', 'endWorksFor', 'Nanjing University of Science and Technology', '2026-08-01'], ['Callum J Prosser', 'endWorksFor', 'Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust', '2026-08-01'], ['Cláusio Melo', 'endWorksFor', 'State University of Santa Cruz', '2026-08-01']]
[['Suleivys M Nuñez', 'endWorksFor', 'Federico Santa María Technical University', '2026-08-01'], ['Barret Zoph', 'endWorksFor', 'Google Brain', '2026-08-01'], ['Melika Akhbari', 'endWorksFor', 'Cambridge University Hospitals NHS Foundation Trust', '2026-08-01'], ['Peng Gong', 'endWorksFor', 'University of Sheffield', '2026-08-01']]
[['Alexandra Ward', 'endWorksFor', 'East Lancashire Hospitals NHS Trust', '2026-08-05'], ['Laura Carugati', 'endWorksFor', 'University of Cagliari', '2026-08-06'], ['Alecsander F Bressan', 'endWorksFor', 'University of São Paulo', '2026-08-10'], ['Khurram Shehzad', 'endWorksFor', 'Southeast University', '2026-08-13']]
[['Roland Bamou', 'endWorksFor', 'Méditerranée Infection Foundation', '2026-08-15'], ['Jonas Johansson', 'endWorksFor', 'University of Tromsø', '2026-08-16'], ['Gita Hedin', 'endWorksFor', 'Faculty Of Medicine U002C Lund University', '2026-08-20'], ['Sahand Zanjani-Pour', 'endWorksFor', 'University of Oxford', '2026-08-20']]
[['Susannah Hallal', 'endWorksFor', 'Chris O U2019 Brien Lifehouse', '2026-08-26'], ['Theodomir Dusabimana', 'endWorksFor', 'Gyeongsang National University - Chilam Campus', '2026-08-30'], ['Wasim Sajjad', 'endWorksFor', 'Northwest Institute Of Eco-Environment And Resources', '2026-08-30'], ['Thang Duong Quoc Le', 'endWorksFor', 'Aix-Marseille University', '2026-08-31']]
[['Marta Domínguez-Delmás', 'endWorksFor', 'University of Amsterdam', '2026-08-31'], ['Zongshi Qin', 'endWorksFor', 'University of Hong Kong', '2026-08-31'], ['Konrad Szocik', 'endWorksFor', 'Yale University', '2026-08-31'], ['D Krishnarao', 'endWorksFor', 'Johns Hopkins University', '2026-08-31']]
[['Deonie Allen', 'endWorksFor', 'University of Strathclyde', '2026-08-31'], ['Kateryna Fal', 'endWorksFor', 'Cea Grenoble', '2026-08-31'], ['Larisse Bolton', 'endWorksFor', 'Stellenbosch University', '2026-08-31'], ['Hugo Vieira', 'endWorksFor', 'University of Aveiro', '2026-08-31']]
[['Quentin Geissmann', 'endWorksFor', 'University of British Columbia', '2026-08-31'], ['Alexandru D Moise', 'endWorksFor', 'European University Institute', '2026-08-31'], ['Abdullah Kahraman', 'endWorksFor', 'University Hospital of Zürich', '2026-08-31'], ['Juan José Augusto Moyano Muñoz', 'endWorksFor', 'Universidad Señor De Sipán', '2026-08-31']]
[['Daniel Escandell Montiel', 'startWorksFor', 'Stockholm University', '2026-09-01'], ['Nienke E R Van Bueren', 'endWorksFor', 'Behavioural Science Institute U002C Radboud University', '2026-09-01'], ['Moming Li', 'endWorksFor', 'University of California', '2026-09-01'], ['Biye Xie', 'endWorksFor', 'University of Hong Kong', '2026-09-01']]
[['Fu-Jun Lin', 'endWorksFor', 'South China Normal University', '2026-09-01'], ['Rebecca Bogaers', 'endWorksFor', 'Tilburg University', '2026-09-01'], ['A N Sarmiento-Lezcano', 'endWorksFor', 'University of Las Palmas de Gran Canaria', '2026-09-01'], ['Kendra Davis-Plourde', 'endWorksFor', 'Yale University', '2026-09-01']]
[['Kasper Van Gasse', 'endWorksFor', 'Ghent University', '2026-09-30'], ['Hans Antov', 'endWorksFor', 'Liverpool University Dental Hospital', '2026-09-30'], ['Haicheng Zhang', 'endWorksFor', 'Université libre de Bruxelles', '2026-09-30'], ['Mandy Menzel', 'endWorksFor', 'University of Copenhagen', '2026-09-30']]
[['Wen Lu', 'endWorksFor', 'Guangxi University', '2026-10-01'], ['Adrià Razzauti', 'endWorksFor', 'Université libre de Bruxelles', '2026-10-01'], ['Ezgi Yildirim', 'endWorksFor', 'Institut national des sciences appliquées de Toulouse', '2026-10-01'], ['Marianne A Petersen', 'endWorksFor', 'Aarhus University Hospital', '2026-10-01']]
[['Ruben Van Wingerden', 'endWorksFor', 'Tilburg University', '2026-10-15'], ['Olga Papazisi', 'endWorksFor', 'Leiden University Medical Center', '2026-10-15'], ['Sony Udayan', 'endWorksFor', 'Cochin University of Science and Technology', '2026-10-23'], ['Jialing Liu', 'endWorksFor', 'Southern University of Science and Technology', '2026-10-28']]
[['Tom Bleeser', 'endWorksFor', 'KU Leuven', '2026-10-31'], ['Denny Coffetti', 'endWorksFor', 'University of Bergamo', '2026-10-31'], ['Tobias R Spiller', 'endWorksFor', 'Yale University', '2026-10-31'], ['Nathalie Kristine Prado Maluta', 'endWorksFor', 'University of São Paulo', '2026-10-31']]
[['Luis Manzanillas', 'endWorksFor', 'Max Planck Institute for Physics', '2026-10-31'], ['Xiangcheng Chen', 'endWorksFor', 'University of Groningen', '2026-10-31'], ['Michele Dello Spedale Venti', 'endWorksFor', 'Sapienza University of Rome', '2026-10-31'], ['Adriano Rutz', 'endWorksFor', 'University of Geneva', '2026-10-31']]
[['Giovanni Rizza', 'endWorksFor', 'Polytechnic University of Turin', '2026-10-31'], ['Faraj Shmam', 'endWorksFor', 'University of Sheffield', '2026-10-31'], ['Elisa Digo', 'endWorksFor', 'Polytechnic University of Turin', '2026-11-01'], ['Nadine Bol', 'endWorksFor', 'Tilburg University', '2026-11-01']]
[['John R Packer', 'endWorksFor', 'Newcastle University', '2026-11-04'], ['Viktoria Lamprou', 'endWorksFor', 'AHEPA University Hospital', '2026-11-04'], ['Ali Vatani', 'endWorksFor', 'University of Tehran', '2026-11-05'], ['Brenda Kischkel', 'endWorksFor', 'University of São Paulo', '2026-11-10']]
[['Maria Letizia Gargano', 'endWorksFor', 'University of Bari', '2026-11-29'], ['Souvik Naskar', 'endWorksFor', 'Imperial College London', '2026-11-30'], ['Diego Díaz-Domínguez', 'endWorksFor', 'University of Helsinki', '2026-11-30'], ['Juan Rubalcaba', 'endWorksFor', 'McGill University', '2026-11-30']]
[['İrem İyigün', 'endWorksFor', 'Hacettepe University Medical School', '2026-12-01'], ['Meghan Quinn', 'endWorksFor', 'Walter Reed National Military Medical Center', '2026-12-01'], ['Ayrles Fb Silva', 'endWorksFor', 'Federal University of Ceará generic instance', '2026-12-01'], ['Zhixiong Gong', 'endWorksFor', 'French National Centre for Scientific Research', '2026-12-01']]
[['Anna Beatriz Sabino Ferrari', 'endWorksFor', 'State University of Londrina', '2026-12-01'], ['Alan Durif', 'endWorksFor', 'Cadarache', '2026-12-01'], ['Piatã S Marques', 'endWorksFor', 'Rio de Janeiro State University', '2026-12-01'], ['Ali Heidari', 'endWorksFor', 'University of Münster', '2026-12-01']]
[['Shaopeng Guo', 'endWorksFor', 'Tianjin University', '2026-12-31'], ['Adnan Ozden', 'endWorksFor', 'University of Toronto', '2026-12-31'], ['Mengliang Ye', 'endWorksFor', 'Peking University', '2026-12-31'], ['Shenghong Ju', 'endWorksFor', 'Shanghai Jiao Tong University', '2026-12-31']]
[['', 'endWorksFor', 'Francisk Skorina Gomel State University', '2026-01-01'], ['Yuri Perohanych', 'endWorksFor', 'Open International University of Human Development " Ukraine"', '2026-01-01'], ['Uladzimir Khmialnitski', 'endWorksFor', 'Minsk Innovation University', '2026-01-01'], ['María Pilar García Del Moral', 'endWorksFor', 'University of Antofagasta', '2026-01-01']]
[['Gatis Krūmiņš', 'endWorksFor', 'Vidzeme University of Applied Sciences', '2026-01-01'], ['Iskender Yasaveyev', 'endWorksFor', 'Higher School of Economics', '2026-01-01'], ['Anders Petersen', 'endWorksFor', 'Aalborg University', '2026-01-01'], ['Gergely Röst', 'startWorksFor', 'University of Szeged', '2026-01-01']]
[['Pasquale Spinelli', 'endWorksFor', 'University of Parma', '2026-01-01'], ['Alan D. Taylor', 'endWorksFor', 'Union College', '2026-01-01'], ['Luca Ciambelli', 'endWorksFor', 'Université libre de Bruxelles', '2026-01-01'], ['Mairelys Lemus-Rojas', 'endWorksFor', 'Indiana University– Purdue University Indianapolis', '2026-01-01']]
[['Martina Vittorietti', 'endWorksFor', 'Delft University of Technology', '2026-06-01'], ['Chaitanya Joshi', 'endWorksFor', 'University of Waikato', '2026-06-01'], ['Adrian Brisku', 'endWorksFor', 'University of Vienna', '2026-09-30'], ['Renato De Filippis', 'endWorksFor', 'Magna Græcia University', '2026-11-02']]
[['Kristaps Eklons', 'endWorksFor', 'State Fire And Rescue Service generic instance', '2026-01-01'], ['Euclides Fernandes', 'endMemberOf', 'Democratic Labour Party ( Brazil)', '2026-01-01'], ['Rose Modesto', 'endMemberOf', 'Brazilian Social Democracy Party', '2026-01-01'], ['Dina Boluarte', 'endMemberOf', 'Free Peru', '2026-01-01']]
[['Günther Schneider', 'endMemberOf', 'Christian Democratic Union of Germany', '2026-06-01'], ['Benjamin Limbach', 'endWorksFor', 'Fachhochschule Des Bundes Für Öffentliche Verwaltung', '2026-06-01'], ['Lóránt-Zoltan Sas', 'endMemberOf', 'Save Romania Union', '2026-06-01'], ['Ioana Mihăilă', 'endMemberOf', 'Freedom, Unity and Solidarity Party', '2026-06-01']]
[['Harumi Takahashi', 'startMemberOf', 'Shinto Political Alliance Diet Members U0027 Association', '2026-06-27'], ['Cristian-Paul Ichim', 'endMemberOf', 'Save Romania Union', '2026-06-27'], ['Oana-Alexandra Cambera', 'endMemberOf', 'Save Romania Union', '2026-06-27'], ['Daniel-Liviu Toda', 'endMemberOf', 'Save Romania Union', '2026-06-27']]
[['Uwe Witt', 'endMemberOf', 'Centre Party ( Germany)', '2026-08-01'], ['Jens Henrik Thulesen Dahl', 'endMemberOf', 'Independent politician generic instance', '2026-08-01'], ['Bent Bøgsted', 'endMemberOf', 'Independent politician generic instance', '2026-08-01'], ['Karina Adsbøl', 'endMemberOf', 'Independent politician generic instance', '2026-08-01']]
