[['Miķelis Fišers', 'endSpouse', 'Inga Tropa', '2022-01-01'], ['Tuulikki Närhinsalo', 'endSpouse', 'Timo Närhinsalo', '2022-09-18'], ['Zdeněk Kučera', 'endSpouse', 'Zuzana Burianová', '2022-10-25'], ['Irena Greifová', 'endSpouse', 'Josef Laufer', '2022-12-22']]
[['Robert Cosialls', 'endMemberOf', 'Bàsquet Girona', '2022-01-01'], ['Candelaria Herrera', 'endMemberOf', 'Iowa State Cyclones women\' s volleyball', '2022-01-01'], ['Andrew Nembhard', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01'], ['Dae-ho Lee', 'endMemberOf', 'Lotte Giants', '2022-01-01']]
[['Brankica Mihajlović', 'endMemberOf', 'Unione Sportiva Pro Victoria Pallavolo Monza', '2022-01-01'], ['José Luis González Albaladejo', 'endMemberOf', 'Palencia Baloncesto', '2022-01-01'], ['Bogdana Anisowa', 'endMemberOf', 'Sk Prometej', '2022-01-01'], ['Francisco Farabello', 'endMemberOf', 'TCU Horned Frogs men\' s basketball', '2022-01-01']]
[['Marc Rubín De Celis', 'endMemberOf', 'Cb Alpicat', '2022-01-01'], ['Edu Gatell', 'endMemberOf', 'Fundación CB Granada', '2022-01-01'], ['Sasha Stefanovic', 'endMemberOf', 'Purdue Boilermakers men\' s basketball', '2022-01-01'], ['Angela Cioca', 'endMemberOf', 'CS Minaur Baia Mare ( women\' s handball)', '2022-01-01']]
[['Vladimír Brodziansky', 'endMemberOf', 'Bahçeşehir Koleji S. K.', '2022-01-01'], ['Duje Dukan', 'endMemberOf', 'Cáceres Ciudad del Baloncesto', '2022-01-01'], ['Noah Dahlman', 'endMemberOf', 'Landstede Hammers', '2022-01-01'], ['Chucky Jeffery', 'endMemberOf', 'Basket 25 Bydgoszcz', '2022-01-01']]
[['Kenshin Urabe', 'endMemberOf', 'Aisin Areions', '2022-01-01'], ['Ben Vander Plas', 'startMemberOf', 'Virginia Cavaliers men\' s basketball', '2022-01-01'], ['Dominez Burnett', 'endMemberOf', 'JA Vichy-Clermont Métropole Basket', '2022-01-01'], ['Michaela Mlejnková', 'endMemberOf', 'Volero Le Cannet', '2022-01-01']]
[['Philipp Hartwich', 'endMemberOf', 'BG Göttingen', '2022-01-01'], ['Shusuke Yamamoto', 'endMemberOf', 'Ehime Orange Vikings', '2022-01-01'], ['Julie Foggea', 'endMemberOf', 'CS Rapid București ( handball)', '2022-01-01'], ['Serena Ortolani', 'endMemberOf', 'Polisportiva Adolfo Consolini', '2022-01-01']]
[['Rosamaria Montibeller', 'endMemberOf', 'AGIL Volley', '2022-01-01'], ['Isabelle Yacoubou', 'endMemberOf', 'Tango Bourges Basket', '2022-01-01'], ['Rebecka Lazic', 'endMemberOf', 'Neptunes De Nantes', '2022-01-01'], ['Sabrina Soledad Germanier', 'endMemberOf', 'Saint-Dié-Des-Vosges Volley-Ball', '2022-01-01']]
[['Maksim Zhukov', 'endMemberOf', 'HC Dukla Jihlava', '2022-01-01'], ['Britt Bongaerts', 'endMemberOf', 'Wealth Planet Perugia Volley', '2022-01-01'], ['Dalila-Lilly Topic', 'endMemberOf', '1 U002E Vc Wiesbaden', '2022-01-01'], ['Joshua Obiesie', 'endMemberOf', 'FC Bayern Munich ( basketball)', '2022-01-01']]
[['Vlado Janković', 'endMemberOf', 'P. A. O. K. BC', '2022-01-01'], ['Britt Herbots', 'endMemberOf', 'AGIL Volley', '2022-01-01'], ['Pavel Ermolinskij', 'endMemberOf', 'Valur ( men\' s basketball)', '2022-01-01'], ['Arisa Inoue', 'endMemberOf', 'Hisamitsu Springs', '2022-01-01']]
[['Matthew-Alexander Moncrieffe', 'endMemberOf', 'Oklahoma State Cowboys basketball', '2022-01-01'], ['Sean Mcdonnell', 'endMemberOf', 'Oviedo CB', '2022-01-01'], ['Agostina Pelozo', 'endMemberOf', 'Club de Gimnasia y Esgrima La Plata', '2022-01-01'], ['Albert Lafuente', 'endMemberOf', 'Força Lleida CE', '2022-01-01']]
[['', 'endMemberOf', 'Madeira Andebol SAD', '2022-01-01'], ['Jonna Wasserfaller', 'endMemberOf', 'Örebro Volley', '2022-01-01'], ['Nathalie Lemmens', 'endMemberOf', 'Kaposvári Női Rc', '2022-01-01'], ['Maja Aleksić', 'endMemberOf', 'Volero Le Cannet', '2022-01-01']]
[['Micha Hancock', 'endMemberOf', 'AGIL Volley', '2022-01-01'], ['Donovan Mitchell', 'endMemberOf', 'Utah Jazz', '2022-01-01'], ['Ousman Sima', 'endMemberOf', 'Club Ourense Baloncesto', '2022-01-01'], ['Josep Pérez Tomàs', 'endMemberOf', 'CB Almansa', '2022-01-01']]
[['Vladimír Brodziansky', 'endMemberOf', 'Club Joventut Badalona', '2022-01-01'], ['Quino Colom', 'endMemberOf', 'AEK B. C.', '2022-01-01'], ['Juan Ignacio Jasen', 'endMemberOf', 'Cb Murcia B', '2022-01-01'], ['Gréta Szakmáry', 'endMemberOf', 'Aydın Büyükşehir Belediyespor', '2022-01-01']]
[['Satoshi Tsuiki', 'endMemberOf', 'United Volleys Frankfurt', '2022-01-01'], ['Marko Todorović ( basketball)', 'endMemberOf', 'Beijing Royal Fighters', '2022-01-01'], ['Tyson Pérez', 'endMemberOf', 'BC Andorra', '2022-01-01'], ['Reggie Upshaw', 'startMemberOf', 'Wellington Saints', '2022-01-01']]
[['Thomas Heurtel', 'endMemberOf', 'Real Madrid Baloncesto', '2022-01-01'], ['Ángel Trinidad', 'endMemberOf', 'Projekt Warsaw', '2022-01-01'], ['Alessia Gennari', 'endMemberOf', 'Unione Sportiva Pro Victoria Pallavolo Monza', '2022-01-01'], ['Dani Díez', 'endMemberOf', 'CB San Pablo Burgos', '2022-01-01']]
[['Gerel Simmons', 'endMemberOf', 'Fundación Lucentum Baloncesto', '2022-01-01'], ['Ilka Van de Vyver', 'endMemberOf', 'Allianz MTV Stuttgart', '2022-01-01'], ['Ægir Steinarsson', 'endMemberOf', 'Gipuzkoa Basket', '2022-01-01'], ['Saulius Kulvietis', 'endMemberOf', 'Telekom Baskets Bonn', '2022-01-01']]
[['Daniel Sarmiento Melián', 'endMemberOf', 'Spain men\' s national handball team generic instance', '2022-01-01'], ['Leandro Bolmaro', 'endMemberOf', 'Iowa Wolves', '2022-01-01'], ['Isabelle Haak', 'endMemberOf', 'VakıfBank S. K.', '2022-01-01'], ['Dakota Mathias', 'endMemberOf', 'Memphis Grizzlies', '2022-01-01']]
[['Obie Trotter', 'startMemberOf', 'Fundación Lucentum Baloncesto', '2022-01-01'], ['Tatjana Brnović', 'endMemberOf', 'ŽRK Budućnost Podgorica', '2022-01-01'], ['Maria Tsitsigianni', 'endMemberOf', 'Panathinaikos women\' s volleyball', '2022-01-01'], ['Olu Ashaolu', 'endMemberOf', 'Alaska Aces ( PBA)', '2022-01-01']]
[['Noah Allen', 'endMemberOf', 'Palencia Baloncesto', '2022-01-01'], ['Shayne Whittington', 'endMemberOf', 'Nagoya Diamond Dolphins', '2022-01-01'], ['Ebanga Baboga Paola Cyrielle', 'endMemberOf', 'Asul Vaulx-En-Velin', '2022-01-01'], ['Pierre Oriola', 'endMemberOf', 'FC Barcelona Bàsquet', '2022-01-01']]
[['Isaiah Mobley', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01'], ['Joey Baker', 'endMemberOf', 'Duke Blue Devils men\' s basketball', '2022-01-01'], ['Arnau Parrado', 'endMemberOf', 'CB Prat', '2022-01-01'], ['Maja Miljković', 'endMemberOf', 'Kayseri Basketbol', '2022-01-01']]
[['Eleonora Furlan', 'endMemberOf', 'Trentino Rosa', '2022-01-01'], ['Kingseley Obiekwe', 'endMemberOf', 'Herons Basket', '2022-01-01'], ['Dominika Sobolska', 'endMemberOf', 'Nilüfer Belediyespor ( women\' s volleyball)', '2022-01-01'], ['Zeke Moore ( basketball)', 'startMemberOf', 'ADA Blois Basket 41', '2022-01-01']]
[['Marina Lubian', 'endMemberOf', 'Pallavolo Scandicci', '2022-01-01'], ['Bianka Buša', 'endMemberOf', 'Lokomotiv Kaliningrad', '2022-01-01'], ['Brie King', 'endMemberOf', 'Béziers Volley', '2022-01-01'], ['Tetsuya Utsumi', 'endMemberOf', 'Saitama Seibu Lions', '2022-01-01']]
[['Anna Hall ( volleyball)', 'endMemberOf', 'Aydın Büyükşehir Belediyespor', '2022-01-01'], ['Sergi García ( basketball)', 'endMemberOf', 'CB Gran Canaria', '2022-01-01'], ['Worth Smith', 'startMemberOf', 'Shiga Lakes', '2022-01-01'], ['David Roddy', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01']]
[['Saša Borovnjak', 'endMemberOf', 'Fundación Lucentum Baloncesto', '2022-01-01'], ['Dominik Mavra', 'endMemberOf', 'KK Zadar', '2022-01-01'], ['Michał Kołodziej', 'endMemberOf', 'Twarde Pierniki Toruń', '2022-01-01'], ['Karl Konan', 'endMemberOf', 'Pays d\' Aix Université Club', '2022-01-01']]
[['Anthony Duruji', 'endMemberOf', 'Florida Gators men\' s basketball', '2022-01-01'], ['Claude Giroux', 'endMemberOf', 'Philadelphia Flyers', '2022-01-01'], ['Kendall Brown ( basketball)', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01'], ['Yamila Nizetich', 'endMemberOf', 'Trentino Rosa', '2022-01-01']]
[['Nacho Martín ( basketball)', 'endMemberOf', 'CB Estudiantes', '2022-01-01'], ['Volodymyr Gerun', 'endMemberOf', 'Büyükçekmece Basketbol', '2022-01-01'], ['Reggie Upshaw', 'startMemberOf', 'Mitteldeutscher BC', '2022-01-01'], ['Tija Gomilar Zickero', 'endMemberOf', 'RK Krim', '2022-01-01']]
[['Trevor Williams ( baseball)', 'endMemberOf', 'New York Mets', '2022-01-01'], ['Hilary Howe', 'endMemberOf', 'Béziers Volley', '2022-01-01'], ['Alicia Ogoms', 'endMemberOf', 'Volley Bergamo 1991', '2022-01-01'], ['Derrian Gobourne', 'endMemberOf', 'Auburn Tigers women\' s gymnastics', '2022-01-01']]
[['Borislava Saykova', 'endMemberOf', 'VC CSKA Sofia', '2022-01-01'], ['Yaneirys Rodríguez', 'endMemberOf', 'CV Deportivo Géminis', '2022-01-01'], ['Sofia D U0027 Odorico', 'endMemberOf', 'AGIL Volley', '2022-01-01'], ['Vince Williams Jr.', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01']]
[['Olafr Schmidt', 'endMemberOf', 'EV Landshut', '2022-01-01'], ['E. J. Montgomery', 'endMemberOf', 'Soproni KC', '2022-01-01'], ['Lisa Zimmermann ( gymnast)', 'endMemberOf', 'Tus 1861 Chemnitz-Altendorf', '2022-01-01'], ['George Papas', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01']]
[['Adrià Domenech', 'endMemberOf', 'Club Joventut Badalona', '2022-01-01'], ['Jennifer Cross', 'startMemberOf', 'Cs Rapid București', '2022-01-01'], ['Hannah Miller ( ice hockey)', 'endMemberOf', 'Djurgårdens IF Hockey ( women)', '2022-01-01'], ['Ezekiel Alley', 'endMemberOf', 'Portland State Vikings men\' s basketball', '2022-01-01']]
[['Šimon Szathmáry', 'endMemberOf', 'HC RT Torax Poruba', '2022-01-01'], ['Daniel Clark ( basketball)', 'endMemberOf', 'Manchester Giants', '2022-01-01'], ['Chet Holmgren', 'endMemberOf', 'Gonzaga Bulldogs men\' s basketball', '2022-01-01'], ['Jake Layman', 'endMemberOf', 'Minnesota Timberwolves', '2022-01-01']]
[['Christian Braun ( basketball)', 'endMemberOf', 'Kansas Jayhawks men\' s basketball', '2022-01-01'], ['Žana Dragutinović', 'endMemberOf', 'Žok Jedinstvo Brčko', '2022-01-01'], ['Max Christie ( basketball)', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01'], ['Laia Palau', 'endMemberOf', 'Uni Girona CB', '2022-01-01']]
[['', 'endMemberOf', 'SKA Minsk', '2022-01-01'], ['Emondre Rickman', 'startMemberOf', 'Montreal Alliance', '2022-01-01'], ['Charlie Moore ( basketball)', 'endMemberOf', 'Miami Hurricanes men\' s basketball', '2022-01-01'], ['Andy Rautins', 'startMemberOf', 'AEK B. C.', '2022-01-01']]
[['Nick Calathes', 'endMemberOf', 'FC Barcelona Bàsquet', '2022-01-01'], ['Kazuki Hosokawa', 'endMemberOf', 'Kyoto Hannaryz', '2022-01-01'], ['Anna Danesi', 'endMemberOf', 'Unione Sportiva Pro Victoria Pallavolo Monza', '2022-01-01'], ['Jordyn Poulter', 'endMemberOf', 'Unet E-Work Busto Arsizio', '2022-01-01']]
[['David Marek', 'endWorksFor', 'Weber State Wildcats', '2022-01-01'], ['Malik Dime', 'endMemberOf', 'Guerino Vanoli Basket', '2022-01-01'], ['Sára Kovářová', 'endMemberOf', 'Kastamonu Bld. GSK ( women\' s handball)', '2022-01-01'], ['Przemek Karnowski', 'endMemberOf', 'Twarde Pierniki Toruń', '2022-01-01']]
[['Jorge García Navea', 'endMemberOf', 'Club Atlético Montemar', '2022-01-01'], ['Yannick Franke', 'endMemberOf', 'Trefl Sopot', '2022-01-01'], ['Taiga Jack Komamizu', 'endMemberOf', 'Saga Ballooners', '2022-01-01'], ['Jonathan Lekkerimäki', 'endPlaysIn', 'Swedish Hockey League', '2022-01-01']]
[['Mija Šiftar', 'endMemberOf', 'Calcit Volley ( women\' s)', '2022-01-01'], ['Aj Bramah', 'startMemberOf', 'Indios de San Francisco de Macorís', '2022-01-01'], ['Veronika Dostálová', 'endMemberOf', 'VK Dukla Liberec', '2022-01-01'], ['Paola Egonu', 'endMemberOf', 'Imoco Volley', '2022-01-01']]
[['Sergio Rodríguez', 'endMemberOf', 'Olimpia Milano', '2022-01-01'], ['Sharon Chepchumba Kiprono', 'endMemberOf', 'Kenya Commercial Bank S. C.', '2022-01-01'], ['Ryo Tawatari', 'endMemberOf', 'San-en NeoPhoenix', '2022-01-01'], ['Mitch Lightfoot', 'endMemberOf', 'Kansas Jayhawks men\' s basketball', '2022-01-01']]
[['Adrián Chapela', 'endMemberOf', 'Club Melilla Baloncesto', '2022-01-01'], ['Sylvester Berg', 'endMemberOf', 'CB Ciudad de Valladolid', '2022-01-01'], ['Malachi Murch', 'endMemberOf', 'Freiburger Turnerschaft von 1844', '2022-01-01'], ['Dominic Fletcher', 'endMemberOf', 'Amarillo Sod Poodles', '2022-01-01']]
[['T. J. Cline', 'startMemberOf', 'Capital City Go-Go', '2022-01-01'], ['Charles Nkaloulou Milandou', 'endMemberOf', 'SLUC Nancy Basket', '2022-01-01'], ['Johanna Stockschläder', 'endMemberOf', 'Neckarsulmer SU', '2022-01-01'], ['David Walker ( basketball)', 'startMemberOf', 'Bilbao Basket', '2022-01-01']]
[['Macris Carneiro', 'endMemberOf', 'Minas Tênis Clube ( women\' s volleyball)', '2022-01-01'], ['Jan Závora', 'endMemberOf', 'HC Slovan Ústečtí Lvi', '2022-01-01'], ['Alberto Cisolla', 'endMemberOf', 'Atlantide Pallavolo Brescia', '2022-01-01'], ['Ioannis Dimakopoulos ( basketball)', 'endMemberOf', 'CB Almansa', '2022-01-01']]
[['Muusa Dama', 'endMemberOf', 'Veltex Shizuoka', '2022-01-01'], ['Jaume Lobo', 'endMemberOf', 'Cáceres Ciudad del Baloncesto', '2022-01-01'], ['Pipy Wolfs', 'endMemberOf', 'VOC Amsterdam', '2022-01-01'], ['Delaney Blaylock', 'endMemberOf', 'Cd Póvoa', '2022-01-01']]
[['Xavi Rey', 'endMemberOf', 'CB Peñas Huesca', '2022-01-01'], ['Maya Bordas', 'endMemberOf', 'California Golden Bears Women U0027 S Gymnastics', '2022-01-01'], ['Yaneirys Rodríguez', 'endMemberOf', 'Mirador Volleyball', '2022-01-01'], ['Sparkle Taylor', 'startMemberOf', 'Chicago Sky', '2022-01-01']]
[['Beta Dumančić', 'endMemberOf', 'Rote Raben Vilsbiburg', '2022-01-01'], ['Pedro Llompart', 'endMemberOf', 'Fundación Lucentum Baloncesto', '2022-01-01'], ['Mina Popović', 'endMemberOf', 'Fenerbahçe S. K. ( women\' s volleyball)', '2022-01-01'], ['Bojana Drča', 'endMemberOf', 'OK Crvena Zvezda', '2022-01-01']]
[['Miriam Sylla', 'endMemberOf', 'Imoco Volley', '2022-01-01'], ['Sergi Pino', 'endMemberOf', 'Cb Esparreguera', '2022-01-01'], ['Sarah Irmler', 'endMemberOf', 'Tsv Haunstetten', '2022-01-01'], ['Yu Chang', 'endMemberOf', 'Cleveland Guardians', '2022-01-01']]
[['Albert Sàbat I Vilà', 'endMemberOf', 'Bàsquet Girona', '2022-01-01'], ['Gal Mekel', 'endMemberOf', 'BC Andorra', '2022-01-01'], ['Artūrs Žagars', 'endMemberOf', 'Club Joventut Badalona', '2022-01-01'], ['Daniela Simian Bulaich', 'endMemberOf', 'Pallavolo Sicilia', '2022-01-01']]
[['Matthias Tass', 'startMemberOf', 'MKS Dąbrowa Górnicza ( basketball)', '2022-01-01'], ['Conor Morgan', 'endMemberOf', 'BC Andorra', '2022-01-01'], ['Rafa Martínez', 'endMemberOf', 'Bàsquet Manresa', '2022-01-01'], ['Reetu Kulhua', 'endWorksFor', 'Ilves Naiset', '2022-01-01']]
[['Martí Rosado', 'endMemberOf', 'Ue Horta', '2022-01-01'], ['Giordan Watson', 'endMemberOf', 'U-BT Cluj-Napoca', '2022-01-01'], ['Tshilidzi Nephawe', 'startMemberOf', 'Kyoto Hannaryz', '2022-01-01'], ['Natalia Tomić', 'endMemberOf', 'Haok Mladost', '2022-01-01']]
[['Shawn Jones ( basketball)', 'endMemberOf', 'KK Split', '2022-01-01'], ['Frankie Ferrari', 'startMemberOf', 'Basket Zaragoza', '2022-01-01'], ['Mike Smith ( basketball, born 1997)', 'endMemberOf', 'Sioux Falls Skyforce', '2022-01-01'], ['Darlevis Mosquera', 'endMemberOf', 'Club Voleibol Emevé', '2022-01-01']]
[['T. J. Cline', 'startMemberOf', 'BC Andorra', '2022-01-01'], ['Rikke Øyerhamn', 'endMemberOf', 'Tertnes HE', '2022-01-01'], ['Nyeme Costa', 'endMemberOf', 'Associação Vôlei Bauru', '2022-01-01'], ['Emma Stach', 'endMemberOf', 'Panathinaikos women\' s basketball', '2022-01-05']]
[['Lauren Cox', 'startMemberOf', 'Ibaeta Kirol Elkartea', '2022-01-06'], ['Mariana Brambilla', 'startMemberOf', 'Panathinaikos women\' s volleyball', '2022-01-16'], ['Kendrick Perry', 'endMemberOf', 'Panathinaikos B. C.', '2022-01-23'], ['Iñaki Urdangarin', 'endSpouse', 'Infanta Cristina of Spain', '2022-01-24']]
[['Oumoul Sarr', 'startMemberOf', 'Tarbes Gespe Bigorre', '2022-02-01'], ['Nuria Martínez', 'endMemberOf', 'Club Bàsquet Femení Sant Adrià', '2022-02-14'], ['Kenjiro Sugiura', 'endMemberOf', '', '2022-03-01'], ['Oumoul Sarr', 'endMemberOf', 'Tarbes Gespe Bigorre', '2022-03-01']]
[['Yasuaki Imanari', 'endWorksFor', 'Hokkaido Nippon-Ham Fighters', '2022-03-02'], ['Barbara Roxana Wezorke', 'endMemberOf', 'Usc Münster', '2022-05-01'], ['Bernadette Karpf', 'endMemberOf', 'ERC Ingolstadt', '2022-05-01'], ['Lauren Cox', 'endMemberOf', 'Ibaeta Kirol Elkartea', '2022-05-01']]
[['Jennifer Cross', 'endMemberOf', 'Panathinaikos women\' s volleyball', '2022-05-13'], ['Margarita Stepanenko', 'endMemberOf', 'Panathinaikos women\' s volleyball', '2022-05-13'], ['Charalampos Andreopoulos', 'endMemberOf', 'Panathinaikos V. C.', '2022-05-14'], ['Iouliti Lymoura', 'endMemberOf', 'Panathinaikos women\' s basketball', '2022-05-16']]
[['Evgenia Kollatou', 'startMemberOf', 'Panathinaikos women\' s basketball', '2022-05-18'], ['Dimitrios Gkaras', 'endMemberOf', 'Panathinaikos V. C.', '2022-05-19'], ['Alexandros Raptis', 'endMemberOf', 'Panathinaikos V. C.', '2022-05-19'], ['Bram Van Den Dries', 'endMemberOf', 'Panathinaikos V. C.', '2022-05-24']]
[['Alexandra Lazić', 'endMemberOf', 'Radomka', '2022-05-31'], ['Manolina Konstantinou', 'endMemberOf', 'Panathinaikos women\' s volleyball', '2022-06-01'], ['Bligh Madris', 'startMemberOf', 'Pittsburgh Pirates', '2022-06-01'], ['Niklas Postel', 'endMemberOf', 'Düsseldorfer EG', '2022-06-01']]
[['Bligh Madris', 'endMemberOf', 'Indianapolis Indians', '2022-06-01'], ['Renata Březinová', 'endMemberOf', 'Tarbes Gespe Bigorre', '2022-06-01'], ['Sequoia Holmes', 'endMemberOf', 'Panathinaikos women\' s basketball', '2022-06-01'], ['Eva Chantava', 'endMemberOf', 'Panathinaikos women\' s volleyball', '2022-06-02']]
[['Keishin Kawamura', 'endMemberOf', 'Saitama Seibu Lions', '2022-06-10'], ['Varvara Milonaki', 'endMemberOf', 'Panathinaikos women\' s basketball', '2022-06-10'], ['Bogdana Anisowa', 'endMemberOf', 'Al Ahly ( men\' s volleyball)', '2022-06-23'], ['Leonidas Kaselakis', 'endMemberOf', 'Panathinaikos B. C.', '2022-06-27']]
[['Vladimír Brodziansky', 'startMemberOf', 'Bahçeşehir Koleji S. K.', '2022-07-01'], ['Sofija Medić', 'startMemberOf', 'Panathinaikos women\' s volleyball', '2022-07-05'], ['Nemanja Nedović', 'endMemberOf', 'Panathinaikos B. C.', '2022-07-06'], ['Daryl Macon', 'endMemberOf', 'Panathinaikos B. C.', '2022-07-08']]
[['Steven Tsui', 'startMemberOf', 'Toyoda Gosei Scorpions', '2022-07-20'], ['Andrew Benintendi', 'endMemberOf', 'Kansas City Royals', '2022-07-28'], ['Elena Becheva', 'startMemberOf', 'Roleski Grupa Azoty Pwsz Tarnów', '2022-08-31'], ['Bligh Madris', 'endMemberOf', 'Pittsburgh Pirates', '2022-09-01']]
[['Andre Murray', 'endMemberOf', 'Tokyo Hachioji Bee Trains', '2022-10-25'], ['Linda Andersson', 'startMemberOf', 'Ftsv Straubing', '2022-10-28'], ['Kevin Kotzur', 'startMemberOf', 'Kumamoto Volters', '2022-11-02'], ['Elijah Burns', 'endMemberOf', 'Kagoshima Rebnise', '2022-11-27']]
[['Melanie Giles', 'startAward', 'Fellow of the British Academy', '2022-01-01'], ['Camille Limoges', 'startAward', 'Honorary Doctorate At The Laval University generic instance', '2022-01-01'], ['Richard Firth Green', 'startAward', 'Fellow Of The Medieval Academy Of America', '2022-01-01'], ['Mateusz Gniazdowski', 'startAward', 'Bene Merito honorary badge', '2022-01-01']]
[['Tim Mulgan', 'startAward', 'Humanities Aronui Medal', '2022-01-01'], ['Francesco Berto', 'startAward', 'Fellowship of the Royal Society of Edinburgh generic instance', '2022-01-01'], ['Daniel Innerarity', 'startAward', 'Premio Nacional De Investigación Ramón Menéndez Pidal', '2022-01-01'], ['Bernhard Gelderblom', 'startAward', 'Officer U0027 S Cross Of The Order Of Merit Of The Federal Republic Of Germany', '2022-01-01']]
[['Fayez Faddoul', 'endNationality', 'Syria', '2022-01-01'], ['Olivette Otele', 'startAward', 'Fellow Of The Learned Society Of Wales', '2022-01-01'], ['Ambeth Ocampo', 'startAward', 'Asia U0027 S Most Influential Philippines', '2022-01-01'], ['Helena Krejčová', 'endWorksFor', 'Documentation Centre For Property Transfers Of The Cultural Assets Of Ww Ii Victims', '2022-01-01']]
[['Lauren Benton ( historian)', 'startAward', 'Berlin Prize', '2022-01-01'], ['Thomas Verclytte', 'startMemberOf', 'Société D U0027 Histoire De Nîmes Et Du Gard', '2022-01-01'], ['Barbara Brookes', 'startAward', 'Fellow Of The Royal Society Te Apārangi', '2022-03-17'], ['Angela Wanhalla', 'startAward', 'Fellow Of The Royal Society Te Apārangi', '2022-03-17']]
[['Ann Robbie', 'startHomeLocation', 'Invercargill', '2022-06-06'], ['Milan Kruhek', 'endNationality', 'Croatia', '2022-07-02']]
[['Anthony Dwayne Mcrae', 'startHomeLocation', 'Lansing, Michigan', '2022-01-01'], ['U. S. Bicycle Route 21', 'endTerminus', 'Cincinnati', '2022-10-01']]
[['Michelle Yeoh', 'startAward', 'Saturn Awards generic instance', '2022-01-01'], ['Daniil Spivakovsky', 'startAward', 'Moscow Prize For Literature And The Arts', '2022-01-01'], ['Carla Simón', 'startAward', 'Premi Pompeu Fabra A La Projecció I Difusió De La Llengua Catalana', '2022-01-01'], ['Sofia Jannok', 'startAward', 'Saami Council U0027 S Honorary Award', '2022-01-01']]
[['Jacques Fieschi', 'startAward', 'César Award for Best Adaptation generic instance', '2022-01-01'], ['Gianna Dior', 'startAward', 'Xrco Female Performer Of The Year', '2022-01-01'], ['Arnold Schwarzenegger', 'startAward', 'Bavarian TV Awards', '2022-01-01'], ['Catherine Deneuve', 'startAward', 'Golden Lion For Lifetime Achievements', '2022-01-01']]
